key,number,name,rookie_year,postal_code,points,rank,state,year,district_code,pop_density,income,team_add,event_data,distances,total_distance,average_distance
frc1258,1258,SeaBot,2004,98116,52.0,84.0,Washington,2015,2015pnw,7523.0,74274,"(47.58, -122.4)","[[47.30860759999999, -122.2198371, '2015-03-26', '2015-03-28'], [48.4237437, -122.3274673, '2015-03-13', '2015-03-15']]","[20.562327391863153, 58.39159041937107]",78.95391781123422,39.47695890561711
frc1294,1294,Top Gun,2004,98074,47.0,93.0,Washington,2015,2015pnw,2411.0,143686,"(47.61, -122.04)","[[47.3419907, -122.1719807, '2015-02-26', '2015-02-28'], [47.8687686, -122.1340012, '2015-03-06', '2015-03-08']]","[19.51985799190037, 18.406529897872346]",37.92638788977271,18.963193944886356
frc1318,1318,Issaquah Robotics Society ,2004,98027,269.0,6.0,Washington,2015,2015pnw,469.0,100644,"(47.5, -122.0)","[[47.48978899999999, -117.584518, '2015-04-01', '2015-04-04'], [47.3419907, -122.1719807, '2015-02-26', '2015-02-28'], [48.4237437, -122.3274673, '2015-03-13', '2015-03-15'], [47.755398, -122.350506, '2015-03-20', '2015-03-22']]","[206.71005963516808, 13.571158613457024, 65.60539733340781, 24.068356287226475]",309.9549718692594,77.48874296731485
frc1359,1359,Scalawags,2004,97355,48.0,91.0,Oregon,2015,2015pnw,137.0,46641,"(44.5, -122.8)","[[44.53798, -123.3559202, '2015-03-26', '2015-03-28'], [45.30742360000001, -122.747698, '2015-03-12', '2015-03-14']]","[27.588070103700712, 55.81399961171713]",83.40206971541784,41.70103485770892
frc1425,1425,Error Code Xero,2004,97070,154.0,24.0,Oregon,2015,2015pnw,1098.0,58662,"(45.31, -122.78)","[[45.30742360000001, -122.747698, '2015-03-12', '2015-03-14'], [47.48978899999999, -117.584518, '2015-04-01', '2015-04-04'], [47.30860759999999, -122.2198371, '2015-03-26', '2015-03-28']]","[1.5840789095311492, 290.26128824365134, 140.62236989513457]",432.4677370483171,144.15591234943903
frc1432,1432,Metal Beavers,2004,97206,22.0,132.0,Oregon,2015,2015pnw,7291.0,50694,"(45.48, -122.6)","[[44.53798, -123.3559202, '2015-03-26', '2015-03-28'], [45.30742360000001, -122.747698, '2015-03-12', '2015-03-14']]","[74.85038932181223, 13.916972675065196]",88.76736199687743,44.38368099843871
frc1510,1510,Wildcats,2005,97229,182.0,16.0,Oregon,2015,2015pnw,2831.0,100063,"(45.55, -122.81)","[[45.35651850000001, -122.5953318, '2015-02-26', '2015-02-28'], [44.53798, -123.3559202, '2015-03-26', '2015-03-28'], [45.30742360000001, -122.747698, '2015-03-12', '2015-03-14'], [47.48978899999999, -117.584518, '2015-04-01', '2015-04-04']]","[16.95301518680643, 74.8201868193376, 17.02388391591384, 282.8105586230436]",391.6076445451015,97.90191113627537
frc1540,1540,Flaming Chickens,2005,97225,147.0,27.0,Oregon,2015,2015pnw,3663.0,71746,"(45.5, -122.78)","[[45.35651850000001, -122.5953318, '2015-02-26', '2015-02-28'], [45.30742360000001, -122.747698, '2015-03-12', '2015-03-14'], [47.48978899999999, -117.584518, '2015-04-01', '2015-04-04']]","[13.372358549889732, 13.391648643462334, 283.3091768015671]",310.0731839949192,103.3577279983064
frc1571,1571,CALibrate Robotics,2005,97030,12.0,150.0,Oregon,2015,2015pnw,4862.0,43071,"(45.51, -122.43)","[[45.35651850000001, -122.5953318, '2015-02-26', '2015-02-28'], [45.30742360000001, -122.747698, '2015-03-12', '2015-03-14']]","[13.302959425306035, 20.845539441519737]",34.148498866825776,17.074249433412888
frc1595,1595,The Dragons,2005,99208,240.0,7.0,Washington,2015,2015pnw,1001.0,53820,"(47.8, -117.5)","[[47.48978899999999, -117.584518, '2015-04-01', '2015-04-04'], [47.0067549, -120.5360183, '2015-03-19', '2015-03-21'], [47.68340310000001, -117.292742, '2015-03-05', '2015-03-07']]","[21.791518877074587, 152.5632551149308, 12.5767322706329]",186.9315062626383,62.3105020875461
frc1778,1778,Chill Out,2006,98043,95.0,55.0,Washington,2015,2015pnw,4886.0,58865,"(47.79, -122.31)","[[47.48978899999999, -117.584518, '2015-04-01', '2015-04-04'], [47.755398, -122.350506, '2015-03-20', '2015-03-22'], [47.8687686, -122.1340012, '2015-03-06', '2015-03-08']]","[221.5788493028935, 3.045279045841108, 9.831464175015572]",234.4555925237502,78.1518641745834
frc1899,1899,Saints Robotics,2006,98008,57.0,73.0,Washington,2015,2015pnw,4437.0,92986,"(47.61, -122.11)","[[47.30860759999999, -122.2198371, '2015-03-26', '2015-03-28'], [47.8687686, -122.1340012, '2015-03-06', '2015-03-08']]","[21.44788800306607, 17.912583451341916]",39.360471454407985,19.680235727203993
frc1983,1983,Skunk Works Robotics,2007,98108,371.0,1.0,Washington,2015,2015pnw,2989.0,52232,"(47.54, -122.31)","[[44.53798, -123.3559202, '2015-03-26', '2015-03-28'], [47.48978899999999, -117.584518, '2015-04-01', '2015-04-04'], [47.3419907, -122.1719807, '2015-02-26', '2015-02-28'], [48.4237437, -122.3274673, '2015-03-13', '2015-03-15']]","[213.34984698164445, 221.16018517671552, 15.13162249765403, 61.06344211570274]",510.70509677171674,127.67627419292918
frc2002,2002,Tualatin Robotics,2007,97062,44.0,99.0,Oregon,2015,2015pnw,1975.0,63314,"(45.37, -122.76)","[[44.53798, -123.3559202, '2015-03-26', '2015-03-28'], [45.30742360000001, -122.747698, '2015-03-12', '2015-03-14']]","[64.45665122579003, 4.362751095568845]",68.81940232135887,34.40970116067943
frc2046,2046,Bear Metal,2007,98038,141.0,29.0,Washington,2015,2015pnw,469.0,95043,"(47.4, -121.9)","[[47.48978899999999, -117.584518, '2015-04-01', '2015-04-04'], [47.3419907, -122.1719807, '2015-02-26', '2015-02-28'], [48.4237437, -122.3274673, '2015-03-13', '2015-03-15']]","[202.31537802488072, 13.378588485982492, 73.46357402138167]",289.15754053224487,96.38584684408163
frc2147,2147,CHUCK,2007,99212,116.0,39.0,Washington,2015,2015pnw,1581.0,52161,"(47.67, -117.32)","[[47.48978899999999, -117.584518, '2015-04-01', '2015-04-04'], [47.0067549, -120.5360183, '2015-03-19', '2015-03-21'], [47.68340310000001, -117.292742, '2015-03-05', '2015-03-07']]","[17.54687078674249, 157.8071034510165, 1.5732078629701334]",176.9271821007291,58.9757273669097
frc2148,2148,Mechaknights,2007,99216,19.0,142.0,Washington,2015,2015pnw,1824.0,45098,"(47.67, -117.2)","[[47.0067549, -120.5360183, '2015-03-19', '2015-03-21'], [47.68340310000001, -117.292742, '2015-03-05', '2015-03-07']]","[163.20639651781923, 4.425214252509444]",167.63161077032868,83.81580538516434
frc2149,2149,CV Bearbots,2007,99037,93.0,57.0,Washington,2015,2015pnw,2006.0,64085,"(47.63, -117.19)","[[47.48978899999999, -117.584518, '2015-04-01', '2015-04-04'], [47.0067549, -120.5360183, '2015-03-19', '2015-03-21'], [47.68340310000001, -117.292742, '2015-03-05', '2015-03-07']]","[20.837162687253084, 162.96264660414212, 6.0506449237384]",189.8504542151336,63.283484738377865
frc2374,2374,Crusader Bots,2008,97225,31.0,122.0,Oregon,2015,2015pnw,3663.0,71746,"(45.5, -122.78)","[[44.53798, -123.3559202, '2015-03-26', '2015-03-28'], [45.30742360000001, -122.747698, '2015-03-12', '2015-03-14']]","[72.17138235739942, 13.391648643462334]",85.56303100086176,42.78151550043088
frc2411,2411,Rebel Alliance,2008,97211,33.0,116.0,Oregon,2015,2015pnw,4305.0,61962,"(45.58, -122.64)","[[45.35651850000001, -122.5953318, '2015-02-26', '2015-02-28'], [45.30742360000001, -122.747698, '2015-03-12', '2015-03-14']]","[15.58546238521752, 19.53851091005033]",35.12397329526785,17.561986647633926
frc2412,2412,Robototes,2008,98005,55.0,79.0,Washington,2015,2015pnw,2361.0,84774,"(47.62, -122.17)","[[47.3419907, -122.1719807, '2015-02-26', '2015-02-28'], [47.755398, -122.350506, '2015-03-20', '2015-03-22']]","[19.206269876289706, 12.585906537251033]",31.792176413540737,15.896088206770369
frc2471,2471,Team Mean Machine,2008,98607,271.0,5.0,Washington,2015,2015pnw,594.0,79486,"(45.7, -122.4)","[[45.35651850000001, -122.5953318, '2015-02-26', '2015-02-28'], [45.30742360000001, -122.747698, '2015-03-12', '2015-03-14'], [47.48978899999999, -117.584518, '2015-04-01', '2015-04-04']]","[25.545746209778912, 31.939367626665906, 260.42693455147895]",317.9120483879238,105.9706827959746
frc2521,2521,SERT,2008,97405,121.0,34.0,Oregon,2015,2015pnw,294.0,56250,"(43.9, -123.1)","[[45.35651850000001, -122.5953318, '2015-02-26', '2015-02-28'], [44.53798, -123.3559202, '2015-03-26', '2015-03-28'], [47.48978899999999, -117.584518, '2015-04-01', '2015-04-04']]","[103.60422485071494, 45.845338690212245, 364.13360749610354]",513.5831710370308,171.1943903456769
frc2522,2522,Royal Robotics,2008,98012,230.0,9.0,Washington,2015,2015pnw,3338.0,88283,"(47.84, -122.2)","[[47.48978899999999, -117.584518, '2015-04-01', '2015-04-04'], [47.30860759999999, -122.2198371, '2015-03-26', '2015-03-28'], [47.8687686, -122.1340012, '2015-03-06', '2015-03-08']]","[216.72381686389926, 36.723122218110184, 3.6563735619096427]",257.1033126439191,85.7011042146397
frc2550,2550,Skynet,2008,97045,283.0,4.0,Oregon,2015,2015pnw,595.0,64023,"(45.3, -122.5)","[[45.35651850000001, -122.5953318, '2015-02-26', '2015-02-28'], [44.53798, -123.3559202, '2015-03-26', '2015-03-28'], [47.48978899999999, -117.584518, '2015-04-01', '2015-04-04']]","[6.0662415409957715, 67.32134370398346, 279.30807353927355]",352.69565878425277,117.56521959475093
frc2555,2555,RoboRams,2008,98406,56.0,77.0,Washington,2015,2015pnw,5064.0,58969,"(47.26, -122.51)","[[47.30860759999999, -122.2198371, '2015-03-26', '2015-03-28'], [47.755398, -122.350506, '2015-03-20', '2015-03-22'], [47.68340310000001, -117.292742, '2015-03-05', '2015-03-07']]","[14.047139444438608, 35.02915327657423, 246.0802526704795]",295.15654539149233,98.38551513049744
frc2557,2557,SOTAbots ,2008,98408,144.0,28.0,Washington,2015,2015pnw,5569.0,49535,"(47.2, -122.45)","[[47.48978899999999, -117.584518, '2015-04-01', '2015-04-04'], [47.3419907, -122.1719807, '2015-02-26', '2015-02-28'], [47.755398, -122.350506, '2015-03-20', '2015-03-22'], [47.68340310000001, -117.292742, '2015-03-05', '2015-03-07']]","[229.29137578316727, 16.34322125386165, 38.65112173585393, 243.95996699269463]",528.2456857655775,132.06142144139437
frc2605,2605,Seamonsters ,2008,98225,133.0,30.0,Washington,2015,2015pnw,3678.0,35765,"(48.74, -122.53)","[[47.48978899999999, -117.584518, '2015-04-01', '2015-04-04'], [47.3419907, -122.1719807, '2015-02-26', '2015-02-28'], [48.4237437, -122.3274673, '2015-03-13', '2015-03-15']]","[244.51734040123782, 98.0035358983734, 23.7434034440418]",366.26427974365305,122.08809324788434
frc2635,2635,Lake Monsters,2008,97034,154.0,23.0,Oregon,2015,2015pnw,2573.0,99492,"(45.41, -122.68)","[[45.35651850000001, -122.5953318, '2015-02-26', '2015-02-28'], [45.30742360000001, -122.747698, '2015-03-12', '2015-03-14'], [47.48978899999999, -117.584518, '2015-04-01', '2015-04-04']]","[5.533421396482124, 7.813014856065289, 282.43093451187]",295.7773707644174,98.59245692147248
frc2660,2660,Pengbots,2008,98271,32.0,120.0,Washington,2015,2015pnw,583.0,66188,"(48.1, -122.2)","[[48.4237437, -122.3274673, '2015-03-13', '2015-03-15'], [47.8687686, -122.1340012, '2015-03-06', '2015-03-08']]","[23.128716138657698, 16.266497256609448]",39.39521339526715,19.697606697633574
frc2733,2733,Pigmice,2009,97202,58.0,71.0,Oregon,2015,2015pnw,6127.0,55212,"(45.48, -122.64)","[[45.35651850000001, -122.5953318, '2015-02-26', '2015-02-28'], [45.30742360000001, -122.747698, '2015-03-12', '2015-03-14']]","[8.7999038985078, 13.019090251731043]",21.818994150238844,10.909497075119422
frc2811,2811,StormBots,2009,98685,43.0,101.0,Washington,2015,2015pnw,2696.0,77231,"(45.72, -122.69)","[[45.35651850000001, -122.5953318, '2015-02-26', '2015-02-28'], [44.53798, -123.3559202, '2015-03-26', '2015-03-28'], [48.4237437, -122.3274673, '2015-03-13', '2015-03-15']]","[25.51925069090824, 87.87580936235605, 187.55393011500945]",300.9489901682737,100.31633005609125
frc2903,2903,NeoBots,2009,98223,37.0,107.0,Washington,2015,2015pnw,128.0,65863,"(48.2, -122.0)","[[48.4237437, -122.3274673, '2015-03-13', '2015-03-15'], [47.8687686, -122.1340012, '2015-03-06', '2015-03-08']]","[21.605271274263504, 23.712525750164886]",45.31779702442839,22.658898512214193
frc2906,2906,Sentinel Prime Robotics,2009,98387,33.0,115.0,Washington,2015,2015pnw,1521.0,64758,"(47.1, -122.4)","[[47.30860759999999, -122.2198371, '2015-03-26', '2015-03-28'], [47.3419907, -122.1719807, '2015-02-26', '2015-02-28']]","[16.72158742291949, 19.865050799989785]",36.58663822290927,18.293319111454636
frc2907,2907,Lion Robotics,2009,98092,163.0,22.0,Washington,2015,2015pnw,892.0,70877,"(47.3, -122.1)","[[47.48978899999999, -117.584518, '2015-04-01', '2015-04-04'], [47.3419907, -122.1719807, '2015-02-26', '2015-02-28'], [48.4237437, -122.3274673, '2015-03-13', '2015-03-15']]","[212.19511298802897, 4.455104903022546, 78.35498850118296]",295.00520639223447,98.3350687974115
frc2910,2910,Jack in the Bot,2009,98082,50.0,90.0,Washington,2015,2015pnw,3338.0,88283,"(47.84, -122.2)","[[47.0067549, -120.5360183, '2015-03-19', '2015-03-21'], [47.8687686, -122.1340012, '2015-03-06', '2015-03-08']]","[96.94915067552179, 3.6563735619096427]",100.60552423743144,50.30276211871572
frc2915,2915,Pandamonium,2009,97219,57.0,72.0,Oregon,2015,2015pnw,3293.0,77756,"(45.45, -122.7)","[[44.53798, -123.3559202, '2015-03-26', '2015-03-28'], [45.30742360000001, -122.747698, '2015-03-12', '2015-03-14']]","[70.7045168495406, 10.116099470915335]",80.82061632045593,40.41030816022796
frc2923,2923,Aggies,2009,99170,41.0,104.0,Washington,2015,2015pnw,6.0,42865,"(47.3, -117.4)","[[47.0067549, -120.5360183, '2015-03-19', '2015-03-21'], [47.68340310000001, -117.292742, '2015-03-05', '2015-03-07']]","[149.1518740647193, 26.959058249254305]",176.1109323139736,88.0554661569868
frc2927,2927,GKHS Pi Rho Techs,2009,98338,22.0,131.0,Washington,2015,2015pnw,448.0,67680,"(47.02, -122.29)","[[47.30860759999999, -122.2198371, '2015-03-26', '2015-03-28'], [47.3419907, -122.1719807, '2015-02-26', '2015-02-28']]","[20.209298033257692, 22.92731932389543]",43.13661735715312,21.56830867857656
