key,number,name,rookie_year,postal_code,points,rank,state,year,district_code,pop_density,income,team_add,event_data,distances,total_distance,average_distance
frc1033,1033,Team CLUTCH,2003,23221,,,Virginia,2016,2016chs,4143.0,56219,"(37.55, -77.49)",[],[],0.0,0.0
frc1080,1080,Resurgence Robotics,2003,23231,29.0,102.0,Virginia,2016,2016chs,393.0,53705,"(37.4, -77.3)","[[37.8489894, -77.41963489999999, '2016-03-24', '2016-03-26'], [36.8804329, -76.3709524, '2016-03-18', '2016-03-20']]","[31.652568777696757, 62.565010298886314]",94.21757907658306,47.10878953829153
frc1086,1086,Blue Cheese,2003,23059,271.0,3.0,Virginia,2016,2016chs,695.0,104163,"(37.7, -77.5)","[[38.99546989999999, -76.9415131, '2016-04-06', '2016-04-09'], [37.2108556, -80.4593477, '2016-03-11', '2016-03-13'], [37.8489894, -77.41963489999999, '2016-03-24', '2016-03-26']]","[94.3624024396975, 166.15039938538257, 11.177615119550772]",271.69041694463084,90.56347231487695
frc1111,1111,Power Hawks Robotics,2003,21037,128.0,29.0,Maryland,2016,2016chs,1194.0,100242,"(38.9, -76.5)","[[38.99546989999999, -76.9415131, '2016-04-06', '2016-04-09'], [39.559127, -76.2876536, '2016-03-18', '2016-03-20'], [38.8453326, -77.6298068, '2016-03-04', '2016-03-06']]","[24.677798853579155, 46.87513257046802, 61.03933264525994]",132.5922640693071,44.197421356435704
frc1123,1123,AIM ⛟ Robotics,2003,22030,51.0,64.0,Virginia,2016,2016chs,2918.0,102140,"(38.84, -77.34)","[[38.9211853, -76.5587475, '2016-03-24', '2016-03-26'], [38.8453326, -77.6298068, '2016-03-04', '2016-03-06']]","[42.49368593535187, 15.638283066637896]",58.131969001989766,29.065984500994883
frc1137,1137,Rocket Sauce,2003,23109,153.0,22.0,Virginia,2016,2016chs,106.0,48984,"(37.43, -76.32)","[[38.99546989999999, -76.9415131, '2016-04-06', '2016-04-09'], [38.9211853, -76.5587475, '2016-03-24', '2016-03-26'], [36.8804329, -76.3709524, '2016-03-18', '2016-03-20']]","[113.14672892716632, 103.66822159481029, 38.002421205575295]",254.81737172755192,84.93912390918398
frc116,116,Epsilon Delta,1996,20170,77.0,58.0,Virginia,2016,2016chs,4706.0,104371,"(38.98, -77.38)","[[38.99546989999999, -76.9415131, '2016-04-06', '2016-04-09'], [37.8489894, -77.41963489999999, '2016-03-24', '2016-03-26'], [38.8453326, -77.6298068, '2016-03-04', '2016-03-06']]","[23.630660072946394, 78.04098781790913, 16.356757542459025]",118.02840543331455,39.34280181110485
frc122,122,NASA Knights,1997,23666,238.0,6.0,Virginia,2016,2016chs,2517.0,55415,"(37.06, -76.41)","[[38.99546989999999, -76.9415131, '2016-04-06', '2016-04-09'], [37.8489894, -77.41963489999999, '2016-03-24', '2016-03-26'], [36.8804329, -76.3709524, '2016-03-18', '2016-03-20']]","[136.6023526538942, 77.72772333237134, 12.569655286903265]",226.8997312731688,75.63324375772294
frc1262,1262,the STAGS,2004,24112,226.0,11.0,Virginia,2016,2016chs,215.0,32566,"(36.7, -79.9)","[[38.99546989999999, -76.9415131, '2016-04-06', '2016-04-09'], [37.2108556, -80.4593477, '2016-03-11', '2016-03-13'], [36.8804329, -76.3709524, '2016-03-18', '2016-03-20']]","[226.34004887105436, 46.89539135920115, 196.1078002728453]",469.3432405031008,156.44774683436694
frc1389,1389,The Body Electric ,2004,20817,112.0,36.0,Maryland,2016,2016chs,2613.0,170293,"(39.0, -77.16)","[[38.99546989999999, -76.9415131, '2016-04-06', '2016-04-09'], [38.9813702, -77.12766289999999, '2016-03-11', '2016-03-13'], [38.9211853, -76.5587475, '2016-03-24', '2016-03-26']]","[11.765050524705611, 2.163805271137561, 32.834820315082304]",46.76367611092547,15.587892036975157
