key,number,name,rookie_year,postal_code,points,rank,state,year,district_code,pop_density,income,team_add,event_data,distances,total_distance,average_distance
frc1018,1018,Pike RoboDevils,2003,46268,226,6,Indiana,2017,2017in,1879.0,41718,"(39.9, -86.23)","[[40.8918853, -85.5105274, '2017-04-06', '2017-04-08'], [39.6483986, -86.1665921, '2017-03-23', '2017-03-25'], [40.499183, -86.91452620000001, '2017-03-03', '2017-03-05']]","[78.25774913428978, 17.683405199226577, 54.96041735048283]",150.90157168399918,50.30052389466639
frc1024,1024,Kil-A-Bytes,2003,46256,168,15,Indiana,2017,2017in,2113.0,71759,"(39.9, -85.99)","[[40.8918853, -85.5105274, '2017-04-06', '2017-04-08'], [39.6483986, -86.1665921, '2017-03-23', '2017-03-25'], [40.499183, -86.91452620000001, '2017-03-03', '2017-03-05']]","[72.96275798955621, 19.740483583650338, 64.04322720246152]",156.74646877566806,52.24882292522269
frc135,135,Penn Robotics,1998,46545,229,5,Indiana,2017,2017in,1410.0,34995,"(41.69, -86.14)","[[40.8918853, -85.5105274, '2017-04-06', '2017-04-08'], [41.6789166, -86.1077188, '2017-03-10', '2017-03-12'], [39.6483986, -86.1665921, '2017-03-23', '2017-03-25']]","[64.08484698273172, 1.836891964049575, 140.88097698775795]",206.80271593453924,68.93423864484642
frc1501,1501,Team THRUST,2005,46750,181,13,Indiana,2017,2017in,137.0,44853,"(40.9, -85.5)","[[40.8918853, -85.5105274, '2017-04-06', '2017-04-08'], [41.6789166, -86.1077188, '2017-03-10', '2017-03-12'], [39.6483986, -86.1665921, '2017-03-23', '2017-03-25'], [40.499183, -86.91452620000001, '2017-03-03', '2017-03-05']]","[0.7857463392453443, 62.36846560776653, 93.26501292410292, 79.26532609876989]",235.6845509698847,58.921137742471174
frc1529,1529,CyberCards,2005,46227,165,16,Indiana,2017,2017in,3407.0,37380,"(39.68, -86.13)","[[40.8918853, -85.5105274, '2017-04-06', '2017-04-08'], [39.6483986, -86.1665921, '2017-03-23', '2017-03-25'], [40.499183, -86.91452620000001, '2017-03-03', '2017-03-05']]","[89.79435124520862, 2.925738149245694, 70.16189748784929]",162.88198688230358,54.293995627434526
frc1646,1646,Precision Guessworks,2005,47905,24,37,Indiana,2017,2017in,325.0,52174,"(40.4, -86.8)","[[41.6789166, -86.1077188, '2017-03-10', '2017-03-12'], [40.499183, -86.91452620000001, '2017-03-03', '2017-03-05']]","[95.37674499987294, 9.125662283465653]",104.5024072833386,52.2512036416693
frc1720,1720,PhyXTGears,2006,46957,254,1,Indiana,2017,2017in,1173.0,40694,"(40.39, -85.49)","[[40.8918853, -85.5105274, '2017-04-06', '2017-04-08'], [41.6789166, -86.1077188, '2017-03-10', '2017-03-12'], [39.6483986, -86.1665921, '2017-03-23', '2017-03-25']]","[34.64758765307076, 94.61784875772432, 62.49837739590142]",191.7638138066965,63.921271268898835
frc1741,1741,Red Alert,2006,46143,196,9,Indiana,2017,2017in,995.0,63265,"(39.6, -86.1)","[[40.8918853, -85.5105274, '2017-04-06', '2017-04-08'], [39.6483986, -86.1665921, '2017-03-23', '2017-03-25'], [40.499183, -86.91452620000001, '2017-03-03', '2017-03-05']]","[94.42643999155104, 4.875538676947178, 75.59030025145309]",174.8922789199513,58.297426306650436
frc1747,1747,Harrison Boiler Robotics,2006,47906,111,24,Indiana,2017,2017in,494.0,36101,"(40.5, -87.0)","[[40.8918853, -85.5105274, '2017-04-06', '2017-04-08'], [41.6789166, -86.1077188, '2017-03-10', '2017-03-12'], [40.499183, -86.91452620000001, '2017-03-03', '2017-03-05']]","[82.7656925855268, 93.74541849473604, 4.502477094060965]",181.01358817432381,60.3378627247746
frc2171,2171,RoboDogs,2007,46307,16,46,Indiana,2017,2017in,691.0,69071,"(41.4, -87.3)","[[41.6789166, -86.1077188, '2017-03-10', '2017-03-12'], [40.499183, -86.91452620000001, '2017-03-03', '2017-03-05']]","[64.74719578787791, 65.3505123155122]",130.09770810339012,65.04885405169506
