key,number,name,rookie_year,postal_code,points,rank,state,year,district_code,pop_density,income,team_add,event_data,distances,total_distance,average_distance
frc102,102,The Gearheads,1998,08876,102,42,New Jersey,2017,2017mar,1459.0,89242,"(40.59, -74.66)","[[40.58528099999999, -75.35740299999999, '2017-04-05', '2017-04-08'], [40.59299619999999, -74.63451490000001, '2017-03-17', '2017-03-19'], [40.4174592, -74.7064384, '2017-03-31', '2017-04-02']]","[36.687285255530746, 1.35638029268568, 12.153921196063193]",50.19758674427962,16.73252891475987
frc103,103,Cybersonics,1997,18930,219,10,Pennsylvania,2017,2017mar,122.0,83438,"(40.54, -75.22)","[[40.58528099999999, -75.35740299999999, '2017-04-05', '2017-04-08'], [40.1977406, -75.1635218, '2017-03-03', '2017-03-05'], [40.06155810000001, -75.20953469999999, '2017-03-17', '2017-03-19']]","[7.8767587200019085, 23.802614840626564, 33.01583691086481]",64.69521047149328,21.565070157164428
frc1089,1089,Team Mercury,2003,08520,43,73,New Jersey,2017,2017mar,1581.0,90293,"(40.25, -74.54)","[[40.858616, -74.713984, '2017-03-10', '2017-03-12'], [39.8573487, -74.717578, '2017-03-24', '2017-03-26']]","[42.981387409597914, 28.68015192123632]",71.66153933083423,35.830769665417115
frc11,11,MORT,1997,07836,166,21,New Jersey,2017,2017mar,787.0,100529,"(40.85, -74.71)","[[40.58528099999999, -75.35740299999999, '2017-04-05', '2017-04-08'], [40.858616, -74.713984, '2017-03-10', '2017-03-12'], [40.4174592, -74.7064384, '2017-03-31', '2017-04-02']]","[38.586840900991206, 0.6301167432989965, 29.846466794015246]",69.06342443830545,23.021141479435148
frc1143,1143,Cruzin' Comets,2003,18411,45,71,Pennsylvania,2017,2017mar,405.0,70405,"(41.4, -75.7)","[[40.1977406, -75.1635218, '2017-03-03', '2017-03-05'], [39.9483, -75.53830599999999, '2017-03-10', '2017-03-12']]","[87.59928357174876, 100.52938784567667]",188.12867141742544,94.06433570871272
frc1168,1168,Malvern Robotics,2003,19355,13,117,Pennsylvania,2017,2017mar,646.0,109706,"(40.04, -75.53)","[[40.06155810000001, -75.20953469999999, '2017-03-17', '2017-03-19'], [39.9483, -75.53830599999999, '2017-03-10', '2017-03-12']]","[17.056663861220205, 6.342052726867213]",23.398716588087417,11.699358294043709
frc1218,1218,SCH Robotics,2003,19118,92,50,Pennsylvania,2017,2017mar,3075.0,77271,"(40.07, -75.21)","[[40.58528099999999, -75.35740299999999, '2017-04-05', '2017-04-08'], [39.8573487, -74.717578, '2017-03-24', '2017-03-26'], [40.1977406, -75.1635218, '2017-03-03', '2017-03-05'], [40.06155810000001, -75.20953469999999, '2017-03-17', '2017-03-19']]","[36.395268867860615, 29.977880094075296, 9.15074768218676, 0.582966779134923]",76.1068634232576,19.0267158558144
frc1228,1228,RoboTribe,2003,07065,34,83,New Jersey,2017,2017mar,7017.0,58101,"(40.61, -74.28)","[[40.858616, -74.713984, '2017-03-10', '2017-03-12'], [39.8573487, -74.717578, '2017-03-24', '2017-03-26']]","[28.516420827863634, 56.85200981309681]",85.36843064096044,42.68421532048022
frc1257,1257,Parallel Universe,2004,07076,113,31,New Jersey,2017,2017mar,2609.0,109872,"(40.64, -74.37)","[[40.58528099999999, -75.35740299999999, '2017-04-05', '2017-04-08'], [40.59299619999999, -74.63451490000001, '2017-03-17', '2017-03-19'], [40.1977406, -75.1635218, '2017-03-03', '2017-03-05']]","[52.058467123481, 14.281606052051448, 51.79100441342286]",118.13107758895532,39.37702586298511
frc1279,1279,Cold Fusion,2004,08876,100,45,New Jersey,2017,2017mar,1459.0,89242,"(40.59, -74.66)","[[40.58528099999999, -75.35740299999999, '2017-04-05', '2017-04-08'], [40.59299619999999, -74.63451490000001, '2017-03-17', '2017-03-19'], [40.858616, -74.713984, '2017-03-10', '2017-03-12'], [40.4174592, -74.7064384, '2017-03-31', '2017-04-02']]","[36.687285255530746, 1.35638029268568, 18.750545530522558, 12.153921196063193]",68.94813227480218,17.237033068700544
frc136,136,Killer Kardinals,1997,07060,16,113,New Jersey,2017,2017mar,8874.0,53800,"(40.62, -74.43)","[[40.59299619999999, -74.63451490000001, '2017-03-17', '2017-03-19'], [40.4174592, -74.7064384, '2017-03-31', '2017-04-02']]","[10.915412778753705, 20.179251648802808]",31.094664427556513,15.547332213778256
frc1370,1370,Thermogenesis,2004,19709,87,55,Delaware,2017,2017mar,441.0,94886,"(39.5, -75.7)","[[40.58528099999999, -75.35740299999999, '2017-04-05', '2017-04-08'], [40.59299619999999, -74.63451490000001, '2017-03-17', '2017-03-19'], [39.9483, -75.53830599999999, '2017-03-10', '2017-03-12']]","[77.0503415811078, 94.2251794104805, 32.10558164910883]",203.38110264069712,67.79370088023238
frc1391,1391,The Metal Moose,2004,19382,102,41,Pennsylvania,2017,2017mar,1132.0,90873,"(39.9, -75.6)","[[40.58528099999999, -75.35740299999999, '2017-04-05', '2017-04-08'], [40.4174592, -74.7064384, '2017-03-31', '2017-04-02'], [39.8573487, -74.717578, '2017-03-24', '2017-03-26'], [39.9483, -75.53830599999999, '2017-03-10', '2017-03-12']]","[48.990977614472065, 59.26400826228948, 46.99722357356137, 4.673809557205507]",159.92601900752842,39.981504751882106
frc1403,1403,Cougar Robotics,2004,08558,102,40,New Jersey,2017,2017mar,398.0,154236,"(40.41, -74.7)","[[40.58528099999999, -75.35740299999999, '2017-04-05', '2017-04-08'], [40.59299619999999, -74.63451490000001, '2017-03-17', '2017-03-19'], [40.858616, -74.713984, '2017-03-10', '2017-03-12'], [40.4174592, -74.7064384, '2017-03-31', '2017-04-02']]","[36.679286298909844, 13.089307009630284, 30.963819372638927, 0.6165959388153536]",81.34900861999441,20.337252154998602
frc1495,1495,Red Devils,2004,19390,87,54,Pennsylvania,2017,2017mar,514.0,77462,"(39.85, -75.84)","[[40.58528099999999, -75.35740299999999, '2017-04-05', '2017-04-08'], [40.06155810000001, -75.20953469999999, '2017-03-17', '2017-03-19'], [39.9483, -75.53830599999999, '2017-03-10', '2017-03-12']]","[56.791172389267615, 36.518534188494776, 17.40727110587184]",110.71697768363424,36.90565922787808
frc1626,1626,Falcon Robotics,2005,08840,30,87,New Jersey,2017,2017mar,5324.0,102196,"(40.54, -74.35)","[[40.59299619999999, -74.63451490000001, '2017-03-17', '2017-03-19'], [39.8573487, -74.717578, '2017-03-24', '2017-03-26']]","[15.411341564608115, 50.957111863313536]",66.36845342792165,33.184226713960825
frc1640,1640,Sab-BOT-age,2005,19335,153,23,Pennsylvania,2017,2017mar,1105.0,91997,"(40.0, -75.7)","[[40.58528099999999, -75.35740299999999, '2017-04-05', '2017-04-08'], [39.8573487, -74.717578, '2017-03-24', '2017-03-26'], [39.9483, -75.53830599999999, '2017-03-10', '2017-03-12']]","[44.253778555375156, 53.10247535718519, 9.294609890674817]",106.65086380323517,35.55028793441172
frc1647,1647,Iron Devils,2005,08088,51,64,New Jersey,2017,2017mar,179.0,71089,"(39.8, -74.7)","[[39.8573487, -74.717578, '2017-03-24', '2017-03-26'], [40.1977406, -75.1635218, '2017-03-03', '2017-03-05']]","[4.06556823065926, 36.85063650125946]",40.91620473191872,20.45810236595936
