key,number,name,rookie_year,postal_code,points,rank,state,year,district_code,pop_density,income,team_add,event_data,distances,total_distance,average_distance
frc1225,1225,The Gorillas,2003,28739,50.0,38.0,North Carolina,2017,2017nc,295.0,51163,"(35.3, -82.5)","[[35.6180652, -82.568921, '2017-03-17', '2017-03-19'], [36.0693429, -79.8128788, '2017-03-09', '2017-03-11']]","[22.269515487908286, 160.17283709667387]",182.44235258458215,91.22117629229108
frc1533,1533,Triple Strange,2005,27409,222.0,5.0,North Carolina,2017,2017nc,803.0,42831,"(36.11, -79.94)","[[35.6180652, -82.568921, '2017-03-17', '2017-03-19'], [35.4079071, -78.73680399999999, '2017-03-31', '2017-04-02'], [36.0693429, -79.8128788, '2017-03-09', '2017-03-11']]","[151.38078924761555, 83.15325551088561, 7.646287028616165]",242.18033178711735,80.72677726237245
frc2059,2059,The Hitchhikers,2007,27502,184.0,13.0,North Carolina,2017,2017nc,1088.0,95816,"(35.7, -78.9)","[[35.4079071, -78.73680399999999, '2017-03-31', '2017-04-02'], [36.0693429, -79.8128788, '2017-03-09', '2017-03-11'], [35.7453552, -78.6040771, '2017-03-23', '2017-03-25'], [35.5415155, -77.42862579999999, '2017-03-03', '2017-03-05']]","[22.13701310332011, 57.1990670264729, 16.928266784757486, 83.54352850956374]",179.80787542411423,44.95196885602856
frc2640,2640,HOTBOTZ,2008,27375,135.0,22.0,North Carolina,2017,2017nc,157.0,40542,"(36.3, -79.7)","[[35.6180652, -82.568921, '2017-03-17', '2017-03-19'], [35.4079071, -78.73680399999999, '2017-03-31', '2017-04-02'], [35.5415155, -77.42862579999999, '2017-03-03', '2017-03-05']]","[167.53898017672697, 81.88706072880812, 137.69286044778747]",387.1189013533226,129.03963378444087
frc2642,2642,Pitt Pirates,2008,27834,277.0,3.0,North Carolina,2017,2017nc,299.0,31265,"(35.7, -77.4)","[[35.4079071, -78.73680399999999, '2017-03-31', '2017-04-02'], [35.7453552, -78.6040771, '2017-03-23', '2017-03-25'], [35.5415155, -77.42862579999999, '2017-03-03', '2017-03-05']]","[77.95899395042193, 67.76570539926317, 11.044482292434905]",156.76918164212,52.25639388070667
frc2655,2655,The Flying Platypi,2008,27410,134.0,23.0,North Carolina,2017,2017nc,1603.0,60097,"(36.12, -79.89)","[[35.6180652, -82.568921, '2017-03-17', '2017-03-19'], [35.4079071, -78.73680399999999, '2017-03-31', '2017-04-02'], [36.0693429, -79.8128788, '2017-03-09', '2017-03-11']]","[154.26046858713087, 81.29648214351076, 5.551840512450217]",241.10879124309184,80.36959708103062
frc2682,2682,Boneyard Robotics 2682,2008,27828,187.0,12.0,North Carolina,2017,2017nc,118.0,36736,"(35.6, -77.6)","[[35.4079071, -78.73680399999999, '2017-03-31', '2017-04-02'], [35.7453552, -78.6040771, '2017-03-23', '2017-03-25'], [35.5415155, -77.42862579999999, '2017-03-03', '2017-03-05']]","[65.43962357995035, 57.366861807199506, 10.46126099779658]",133.26774638494643,44.422582128315476
frc3196,3196,Team SPORK,2010,28115,274.0,4.0,North Carolina,2017,2017nc,466.0,53157,"(35.6, -80.8)","[[35.4079071, -78.73680399999999, '2017-03-31', '2017-04-02'], [36.0693429, -79.8128788, '2017-03-09', '2017-03-11'], [35.7453552, -78.6040771, '2017-03-23', '2017-03-25']]","[117.05959517594107, 64.17367883494559, 123.93637636567685]",305.1696503765635,101.72321679218783
frc3215,3215,Apollo,2010,27408,45.0,42.0,North Carolina,2017,2017nc,2268.0,60938,"(36.1, -79.82)","[[35.6180652, -82.568921, '2017-03-17', '2017-03-19'], [36.0693429, -79.8128788, '2017-03-09', '2017-03-11']]","[157.81356073167353, 2.150980214465154]",159.9645409461387,79.98227047306935
frc3229,3229,Hawktimus Prime,2010,27540,187.0,11.0,North Carolina,2017,2017nc,633.0,86066,"(35.61, -78.87)","[[35.4079071, -78.73680399999999, '2017-03-31', '2017-04-02'], [35.7453552, -78.6040771, '2017-03-23', '2017-03-25'], [35.5415155, -77.42862579999999, '2017-03-03', '2017-03-05']]","[15.826850898182544, 17.63083232546123, 81.31989396376304]",114.77757718740682,38.25919239580227
frc3331,3331,Tar Heel Robots,2010,27599,43.0,44.0,North Carolina,2017,2017nc,389.0,69349,"(35.9, -79.2)","[[36.0693429, -79.8128788, '2017-03-09', '2017-03-11'], [35.7453552, -78.6040771, '2017-03-23', '2017-03-25']]","[36.27358013525777, 35.11873814368773]",71.3923182789455,35.69615913947275
frc3336,3336,Zimanators,2010,28584,19.0,52.0,North Carolina,2017,2017nc,198.0,55581,"(34.74, -77.1)","[[35.7453552, -78.6040771, '2017-03-23', '2017-03-25'], [35.5415155, -77.42862579999999, '2017-03-03', '2017-03-05']]","[109.72163109922163, 58.30335032881888]",168.02498142804052,84.01249071402026
frc3402,3402,ROBOMonkeys,2010,28645,205.0,6.0,North Carolina,2017,2017nc,145.0,30968,"(36.0, -81.5)","[[35.6180652, -82.568921, '2017-03-17', '2017-03-19'], [35.4079071, -78.73680399999999, '2017-03-31', '2017-04-02'], [36.0693429, -79.8128788, '2017-03-09', '2017-03-11']]","[65.55134368551482, 160.65077204646872, 94.59946837228253]",320.8015841042661,106.9338613680887
frc3459,3459,Team PyroTech,2011,27518,117.0,25.0,North Carolina,2017,2017nc,2040.0,102038,"(35.73, -78.77)","[[35.6180652, -82.568921, '2017-03-17', '2017-03-19'], [35.4079071, -78.73680399999999, '2017-03-31', '2017-04-02'], [35.5415155, -77.42862579999999, '2017-03-03', '2017-03-05']]","[213.83331456584745, 22.284245198218642, 76.60423355652853]",312.7217933205946,104.24059777353153
frc3506,3506,YETI Robotics,2011,28208,116.0,26.0,North Carolina,2017,2017nc,1553.0,28435,"(35.24, -80.91)","[[35.6180652, -82.568921, '2017-03-17', '2017-03-19'], [35.4079071, -78.73680399999999, '2017-03-31', '2017-04-02'], [35.5415155, -77.42862579999999, '2017-03-03', '2017-03-05']]","[97.16598652807517, 123.32606872290077, 197.6190508474806]",418.1111060984565,139.3703686994855
frc3661,3661,RoboWolves,2011,28170,12.0,56.0,North Carolina,2017,2017nc,66.0,32730,"(35.0, -80.1)","[[35.6180652, -82.568921, '2017-03-17', '2017-03-19'], [36.0693429, -79.8128788, '2017-03-09', '2017-03-11']]","[145.87433819471266, 75.47650484601509]",221.35084304072774,110.67542152036387
frc3680,3680,Elemental Dragons,2011,28677,31.0,48.0,North Carolina,2017,2017nc,400.0,34793,"(35.7, -80.9)","[[35.6180652, -82.568921, '2017-03-17', '2017-03-19'], [36.0693429, -79.8128788, '2017-03-09', '2017-03-11']]","[94.07093306751787, 66.09626504052498]",160.16719810804284,80.08359905402142
