key,number,name,rookie_year,postal_code,points,rank,state,year,district_code,pop_density,income,team_add,event_data,distances,total_distance,average_distance
frc1,1,The Juggernauts,1997,48340,49,240,Michigan,2018,2018fim,3237.0,28929.0,"(42.67, -83.29)","[[43.0115468, -83.7138531, '2018-03-01', '2018-03-03'], [42.6564663, -83.3490497, '2018-03-08', '2018-03-10']]","[31.92820684634462, 3.149884687799249]",35.078091534143866,17.539045767071933
frc1023,1023,Bedford Express,2003,48182,238,28,Michigan,2018,2018fim,548.0,64076.0,"(41.79, -83.59)","[[43.51427329999999, -83.9623559, '2018-04-11', '2018-04-14'], [42.9434299, -85.52304079999999, '2018-04-05', '2018-04-07'], [42.0855098, -83.2115006, '2018-03-01', '2018-03-03'], [42.1586267, -83.6110635, '2018-03-15', '2018-03-17']]","[120.5212950748004, 126.98806881161931, 28.22033663695714, 25.464783886495887]",301.1944844098727,75.29862110246818
frc1025,1025,IMPI Robotics,2003,48220,270,17,Michigan,2018,2018fim,5036.0,44986.0,"(42.46, -83.14)","[[42.4867326, -83.02047549999999, '2018-03-08', '2018-03-10'], [43.51427329999999, -83.9623559, '2018-04-11', '2018-04-14'], [42.3727551, -85.4393006, '2018-03-15', '2018-03-17']]","[6.380080980386526, 83.86295562034967, 117.74612284042321]",207.98915944115942,69.3297198137198
frc107,107,Team R.O.B.O.T.I.C.S.,1997,49423,59,185,Michigan,2018,2018fim,580.0,47522.0,"(42.7, -86.1)","[[42.9434299, -85.52304079999999, '2018-04-05', '2018-04-07'], [42.6564663, -83.3490497, '2018-03-08', '2018-03-10'], [42.9639355, -85.8889465, '2018-03-22', '2018-03-24']]","[33.79126591938066, 140.13409614528135, 21.140028480341783]",195.0653905450038,65.0217968483346
frc1076,1076,Pi Hi Samurai,2003,48103,21,433,Michigan,2018,2018fim,815.0,75559.0,"(42.3, -83.9)","[[42.2030303, -83.4932839, '2018-03-22', '2018-03-24'], [42.6564663, -83.3490497, '2018-03-08', '2018-03-10']]","[21.903129206379052, 37.387208602365575]",59.290337808744624,29.645168904372312
frc1188,1188,Ravens,2003,48073,50,235,Michigan,2018,2018fim,4446.0,58755.0,"(42.52, -83.16)","[[42.0855098, -83.2115006, '2018-03-01', '2018-03-03'], [43.52176539999999, -84.69053989999999, '2018-03-29', '2018-03-31']]","[30.10498144004644, 103.87934778195076]",133.9843292219972,66.9921646109986
frc1189,1189,The Gearheads,2003,48236,178,59,Michigan,2018,2018fim,4073.0,91782.0,"(42.42, -82.9)","[[42.2030303, -83.4932839, '2018-03-22', '2018-03-24'], [42.4867326, -83.02047549999999, '2018-03-08', '2018-03-10'], [43.51427329999999, -83.9623559, '2018-04-11', '2018-04-14'], [43.51427329999999, -83.9623559, '2018-04-14', '2018-04-14']]","[33.88249485196719, 7.6900552481773365, 92.767897226516, 92.767897226516]",227.10834455317652,56.77708613829413
frc123,123,Team - Cosmos,1997,48212,87,156,Michigan,2018,2018fim,7298.0,23694.0,"(42.41, -83.05)","[[42.4867326, -83.02047549999999, '2018-03-08', '2018-03-10'], [43.51427329999999, -83.9623559, '2018-04-11', '2018-04-14'], [42.0855098, -83.2115006, '2018-03-01', '2018-03-03']]","[5.507164633510075, 89.16196260761517, 23.878747946295537]",118.54787518742077,39.515958395806926
frc1243,1243,Dragons,2004,48473,56,207,Michigan,2018,2018fim,382.0,54990.0,"(42.9, -83.8)","[[42.3727551, -85.4393006, '2018-03-15', '2018-03-17'], [43.0115468, -83.7138531, '2018-03-08', '2018-03-10']]","[91.12717204944323, 8.85262268565738]",99.97979473510061,49.989897367550306
frc1250,1250,Gator-Bots,2004,48124,63,172,Michigan,2018,2018fim,3584.0,58074.0,"(42.3, -83.25)","[[42.355419, -83.4085504, '2018-03-29', '2018-03-31'], [42.6564663, -83.3490497, '2018-03-08', '2018-03-10']]","[8.976148231287613, 25.119631475404862]",34.095779706692475,17.047889853346238
frc1254,1254,Tech Force,2004,49064,34,332,Michigan,2018,2018fim,82.0,43947.0,"(42.22, -86.07)","[[42.3727551, -85.4393006, '2018-03-15', '2018-03-17'], [42.08949680000001, -86.49169429999999, '2018-03-08', '2018-03-10']]","[33.99422592663451, 23.455014140194738]",57.44924006682925,28.724620033414624
frc1322,1322,Genesee Robotics Area Youth Team (GRAYT),2004,48430,178,60,Michigan,2018,2018fim,443.0,62807.0,"(42.8, -83.7)","[[43.51427329999999, -83.9623559, '2018-04-11', '2018-04-14'], [45.7411821, -87.0820462, '2018-03-15', '2018-03-17'], [43.0115468, -83.7138531, '2018-03-01', '2018-03-03']]","[51.05900582768553, 263.3696285581478, 14.61970790317555]",329.0483422890089,109.68278076300295
