key,number,name,rookie_year,postal_code,points,rank,state,year,district_code,pop_density,income,team_add,event_data,distances,total_distance,average_distance
frc102,102,The Gearheads,1998,08876,119,34,New Jersey,2019,2019fma,1459.0,89242,"(40.59, -74.66)","[[40.58528099999999, -75.35740299999999, '2019-04-03', '2019-04-06'], [40.59299619999999, -74.63451490000001, '2019-03-15', '2019-03-17'], [40.4174592, -74.7064384, '2019-03-29', '2019-03-31']]","[36.687285255530746, 1.35638029268568, 12.153921196063193]",50.19758674427962,16.73252891475987
frc103,103,Cybersonics,1997,18930,173,16,Pennsylvania,2019,2019fma,122.0,83438,"(40.54, -75.22)","[[40.58528099999999, -75.35740299999999, '2019-04-03', '2019-04-06'], [40.1977406, -75.1635218, '2019-03-01', '2019-03-03'], [40.06192009999999, -75.20853079999999, '2019-03-15', '2019-03-17']]","[7.8767587200019085, 23.802614840626564, 32.991795723349085]",64.67116928397756,21.55705642799252
frc1089,1089,Team Mercury,2003,08520,52,67,New Jersey,2019,2019fma,1581.0,90293,"(40.25, -74.54)","[[40.858616, -74.713984, '2019-03-08', '2019-03-10'], [40.11270489999999, -74.9315159, '2019-03-29', '2019-03-31']]","[42.981387409597914, 22.782029345052074]",65.76341675465,32.881708377325
frc11,11,MORT,1997,07836,208,11,New Jersey,2019,2019fma,787.0,100529,"(40.85, -74.71)","[[40.58528099999999, -75.35740299999999, '2019-04-03', '2019-04-06'], [40.59299619999999, -74.63451490000001, '2019-03-15', '2019-03-17'], [40.858616, -74.713984, '2019-03-08', '2019-03-10']]","[38.586840900991206, 18.17124843045302, 0.6301167432989965]",57.38820607474322,19.12940202491441
frc1143,1143,Cruzin' Comets,2003,18411,33,92,Pennsylvania,2019,2019fma,405.0,70405,"(41.4, -75.7)","[[40.858616, -74.713984, '2019-03-08', '2019-03-10'], [40.1977406, -75.1635218, '2019-03-01', '2019-03-03']]","[63.580273743306705, 87.59928357174876]",151.17955731505546,75.58977865752773
frc1168,1168,Malvern Robotics,2003,19355,29,98,Pennsylvania,2019,2019fma,646.0,109706,"(40.04, -75.53)","[[40.06192009999999, -75.20853079999999, '2019-03-15', '2019-03-17'], [39.9483, -75.53830599999999, '2019-03-08', '2019-03-10']]","[17.111834770140273, 6.342052726867213]",23.453887497007486,11.726943748503743
frc1218,1218,SCH Robotics,2003,19118,132,29,Pennsylvania,2019,2019fma,3075.0,77271,"(40.07, -75.21)","[[40.58528099999999, -75.35740299999999, '2019-04-03', '2019-04-06'], [40.11270489999999, -74.9315159, '2019-03-29', '2019-03-31'], [40.1977406, -75.1635218, '2019-03-01', '2019-03-03'], [40.06192009999999, -75.20853079999999, '2019-03-15', '2019-03-17']]","[36.395268867860615, 15.048275819431714, 9.15074768218676, 0.5628828399219047]",61.157175209401,15.28929380235025
frc1228,1228,RoboTribe,2003,07065,33,91,New Jersey,2019,2019fma,7017.0,58101,"(40.61, -74.28)","[[40.59299619999999, -74.63451490000001, '2019-03-15', '2019-03-17'], [40.858616, -74.713984, '2019-03-08', '2019-03-10']]","[18.681790720024278, 28.516420827863634]",47.19821154788791,23.599105773943954
frc1257,1257,Parallel Universe,2004,07076,132,30,New Jersey,2019,2019fma,2609.0,109872,"(40.64, -74.37)","[[40.58528099999999, -75.35740299999999, '2019-04-03', '2019-04-06'], [40.59299619999999, -74.63451490000001, '2019-03-15', '2019-03-17'], [40.858616, -74.713984, '2019-03-08', '2019-03-10']]","[52.058467123481, 14.281606052051448, 23.52451671951378]",89.86458989504624,29.954863298348744
frc1279,1279,Cold Fusion,2004,08876,158,22,New Jersey,2019,2019fma,1459.0,89242,"(40.59, -74.66)","[[40.58528099999999, -75.35740299999999, '2019-04-03', '2019-04-06'], [40.59299619999999, -74.63451490000001, '2019-03-15', '2019-03-17'], [40.858616, -74.713984, '2019-03-08', '2019-03-10'], [40.4174592, -74.7064384, '2019-03-29', '2019-03-31']]","[36.687285255530746, 1.35638029268568, 18.750545530522558, 12.153921196063193]",68.94813227480218,17.237033068700544
