key,number,name,rookie_year,postal_code,points,rank,state,year,district_code,pop_density,income,team_add,event_data,distances,total_distance,average_distance
frc1027,1027,Project Jabberwocky,2003,01089,29,158,Massachusetts,2019,2019ne,1699.0,54126.0,"(42.12, -72.64)","[[42.53460860000001, -71.10908049999999, '2019-03-15', '2019-03-17'], [42.11497840000001, -72.5186855, '2019-03-22', '2019-03-24']]","[83.46568241986003, 6.243526098514838]",89.70920851837487,44.85460425918743
frc1058,1058,PVC Pirates,2003,03053,136,29,New Hampshire,2019,2019ne,583.0,92053.0,"(42.9, -71.4)","[[42.2745754, -71.8062724, '2019-04-10', '2019-04-13'], [43.1397577, -70.9344539, '2019-03-29', '2019-03-31'], [42.9372265, -71.51953639999999, '2019-03-15', '2019-03-17']]","[47.885449365652704, 28.808777251249097, 6.5865230797300995]",83.2807496966319,27.7602498988773
frc1071,1071,MAX,2003,06716,112,47,Connecticut,2019,2019ne,816.0,83993.0,"(41.6, -72.98)","[[41.604199, -73.0265679, '2019-03-08', '2019-03-10'], [42.11497840000001, -72.5186855, '2019-03-22', '2019-03-24'], [42.2745754, -71.8062724, '2019-04-10', '2019-04-13']]","[2.4295862929640037, 42.77536604547856, 76.32619334363832]",121.53114568208089,40.51038189402696
frc1073,1073,The Force Team,2003,03049,152,22,New Hampshire,2019,2019ne,242.0,113125.0,"(42.75, -71.58)","[[42.53460860000001, -71.10908049999999, '2019-03-15', '2019-03-17'], [42.2745754, -71.8062724, '2019-04-10', '2019-04-13'], [43.1397577, -70.9344539, '2019-03-29', '2019-03-31']]","[28.230269854615397, 34.79051731006629, 42.37412878714052]",105.39491595182221,35.13163865060741
frc1099,1099,DiscoTechs,2003,06804,44,111,Connecticut,2019,2019ne,832.0,107008.0,"(41.47, -73.39)","[[41.604199, -73.0265679, '2019-03-08', '2019-03-10'], [42.11497840000001, -72.5186855, '2019-03-22', '2019-03-24']]","[20.99763174068481, 63.296882779776]",84.29451452046081,42.147257260230404
frc1100,1100,The T-Hawks,2003,01532,61,77,Massachusetts,2019,2019ne,766.0,108415.0,"(42.32, -71.63)","[[41.9911025, -70.993044, '2019-03-08', '2019-03-10'], [42.3033922, -71.74455540000001, '2019-03-29', '2019-03-31'], [41.92110479999999, -71.5379512, '2019-03-22', '2019-03-24']]","[39.81600928707788, 5.979470711295489, 27.934749330889517]",73.7302293292629,24.5767431097543
frc1124,1124,UberBots,2003,06001,11,202,Connecticut,2019,2019ne,784.0,113838.0,"(41.79, -72.86)","[[41.7652258, -72.7010105, '2019-04-05', '2019-04-07'], [41.604199, -73.0265679, '2019-03-08', '2019-03-10']]","[8.389463698981375, 15.448476869847488]",23.837940568828863,11.918970284414431
frc1153,1153,The Revolution,2003,02081,175,15,Massachusetts,2019,2019ne,1031.0,93416.0,"(42.15, -71.26)","[[41.9911025, -70.993044, '2019-03-08', '2019-03-10'], [42.2745754, -71.8062724, '2019-04-10', '2019-04-13'], [41.92110479999999, -71.5379512, '2019-03-22', '2019-03-24']]","[17.570704485111143, 29.31811846170945, 21.30960829777635]",68.19843124459695,22.73281041486565
frc121,121,Rhode Warriors,1996,02842,43,114,Rhode Island,2019,2019ne,1268.0,69495.0,"(41.52, -71.28)","[[41.9911025, -70.993044, '2019-03-08', '2019-03-10'], [41.92110479999999, -71.5379512, '2019-03-22', '2019-03-24']]","[35.735120107949875, 30.727518943877936]",66.46263905182781,33.231319525913904
frc1247,1247,"Blood, Sweat, and Gears",2004,03260,37,132,New Hampshire,2019,2019ne,33.0,73229.0,"(43.37, -71.94)","[[42.7804014, -71.2116568, '2019-02-28', '2019-03-02'], [42.9372265, -71.51953639999999, '2019-03-15', '2019-03-17']]","[54.90893109631675, 36.66195023164433]",91.57088132796108,45.78544066398054
frc125,125,NUTRONs,1998,02115,338,2,Massachusetts,2019,2019ne,40159.0,27134.0,"(42.34, -71.1)","[[42.4121531, -71.00789089999999, '2019-03-22', '2019-03-24'], [41.9911025, -70.993044, '2019-03-08', '2019-03-10'], [42.3033922, -71.74455540000001, '2019-03-29', '2019-03-31'], [42.2745754, -71.8062724, '2019-04-10', '2019-04-13']]","[6.857295311788149, 24.699117203664024, 33.11121842900694, 36.46478348845387]",101.13241443291298,25.283103608228245
frc126,126,Gael Force,1992,01510,79,66,Massachusetts,2019,2019ne,2406.0,64723.0,"(42.41, -71.69)","[[42.3033922, -71.74455540000001, '2019-03-29', '2019-03-31'], [42.9372265, -71.51953639999999, '2019-03-15', '2019-03-17']]","[7.8704704906034, 37.41364884538317]",45.284119335986574,22.642059667993287
frc1277,1277,The Robotomies,2004,01450,102,53,Massachusetts,2019,2019ne,325.0,117127.0,"(42.62, -71.58)","[[42.2745754, -71.8062724, '2019-04-10', '2019-04-13'], [42.7804014, -71.2116568, '2019-02-28', '2019-03-02'], [42.9372265, -71.51953639999999, '2019-03-15', '2019-03-17']]","[26.499896215791356, 21.77786950267725, 22.112023324460875]",70.38978904292948,23.463263014309828
frc1289,1289,Gearheadz,2004,01843,21,175,Massachusetts,2019,2019ne,7249.0,42891.0,"(42.69, -71.16)","[[42.3033922, -71.74455540000001, '2019-03-29', '2019-03-31'], [42.53460860000001, -71.10908049999999, '2019-03-15', '2019-03-17']]","[40.04501002278303, 11.035622752761862]",51.08063277554489,25.540316387772446
frc1307,1307,Robosaints,2004,03820,44,108,New Hampshire,2019,2019ne,1082.0,57401.0,"(43.19, -70.89)","[[42.4121531, -71.00789089999999, '2019-03-22', '2019-03-24'], [42.9372265, -71.51953639999999, '2019-03-15', '2019-03-17']]","[54.02610688553694, 36.32864409485675]",90.35475098039369,45.177375490196845
