key,number,name,rookie_year,postal_code,points,rank,state,year,district_code,pop_density,income,team_add,event_data,distances,total_distance,average_distance
frc1018,1018,Pike RoboDevils,2003,46268,70,31,Indiana,2016,2016in,1879.0,41718,"(39.9, -86.23)","[[40.48527, -86.1265951, '2016-04-14', '2016-04-16'], [39.6483986, -86.1665921, '2016-03-24', '2016-03-26'], [39.7908649, -85.9995792, '2016-03-18', '2016-03-20']]","[40.75026975979666, 17.683405199226577, 14.382328121605486]",72.81600308062872,24.27200102687624
frc1024,1024,Kil-A-Bytes,2003,46256,343,1,Indiana,2016,2016in,2113.0,71759,"(39.9, -85.99)","[[40.48527, -86.1265951, '2016-04-14', '2016-04-16'], [39.6483986, -86.1665921, '2016-03-24', '2016-03-26'], [39.7908649, -85.9995792, '2016-03-18', '2016-03-20'], [40.499183, -86.91452620000001, '2016-03-11', '2016-03-13']]","[41.022981715131685, 19.740483583650338, 7.546649278973968, 64.04322720246152]",132.35334178021753,33.08833544505438
frc135,135,Penn Robotics,1998,46545,218,6,Indiana,2016,2016in,1410.0,34995,"(41.69, -86.14)","[[40.48527, -86.1265951, '2016-04-14', '2016-04-16'], [39.6483986, -86.1665921, '2016-03-24', '2016-03-26'], [40.499183, -86.91452620000001, '2016-03-11', '2016-03-13']]","[83.13745422663882, 140.88097698775795, 91.58235192132635]",315.60078313572313,105.20026104524105
frc1501,1501,Team THRUST,2005,46750,289,4,Indiana,2016,2016in,137.0,44853,"(40.9, -85.5)","[[40.48527, -86.1265951, '2016-04-14', '2016-04-16'], [39.6483986, -86.1665921, '2016-03-24', '2016-03-26'], [40.499183, -86.91452620000001, '2016-03-11', '2016-03-13']]","[43.611523630888705, 93.26501292410292, 79.26532609876989]",216.1418626537615,72.04728755125383
frc1529,1529,CyberCards,2005,46227,199,8,Indiana,2016,2016in,3407.0,37380,"(39.68, -86.13)","[[40.48527, -86.1265951, '2016-04-14', '2016-04-16'], [39.6483986, -86.1665921, '2016-03-24', '2016-03-26'], [39.7908649, -85.9995792, '2016-03-18', '2016-03-20']]","[55.55966401753581, 2.925738149245694, 10.332537687001167]",68.81793985378268,22.939313284594224
frc1646,1646,Precision Guessworks,2005,47905,17,45,Indiana,2016,2016in,325.0,52174,"(40.4, -86.8)","[[39.7908649, -85.9995792, '2016-03-18', '2016-03-20'], [40.499183, -86.91452620000001, '2016-03-11', '2016-03-13']]","[59.70772113869579, 9.125662283465653]",68.83338342216145,34.41669171108072
frc1720,1720,PhyXTGears,2006,46957,161,13,Indiana,2016,2016in,1173.0,40694,"(40.39, -85.49)","[[40.48527, -86.1265951, '2016-04-14', '2016-04-16'], [39.6483986, -86.1665921, '2016-03-24', '2016-03-26'], [39.7908649, -85.9995792, '2016-03-18', '2016-03-20']]","[34.19953793199934, 62.49837739590142, 49.37525767245566]",146.0731730003564,48.69105766678547
frc1741,1741,Red Alert,2006,46143,112,23,Indiana,2016,2016in,995.0,63265,"(39.6, -86.1)","[[40.48527, -86.1265951, '2016-04-14', '2016-04-16'], [39.6483986, -86.1665921, '2016-03-24', '2016-03-26'], [39.7908649, -85.9995792, '2016-03-18', '2016-03-20'], [40.499183, -86.91452620000001, '2016-03-11', '2016-03-13']]","[61.09480377461831, 4.875538676947178, 14.213901614951405, 75.59030025145309]",155.77454431796997,38.94363607949249
frc1747,1747,Harrison Boiler Robotics,2006,47906,248,5,Indiana,2016,2016in,494.0,36101,"(40.5, -87.0)","[[40.48527, -86.1265951, '2016-04-14', '2016-04-16'], [39.6483986, -86.1665921, '2016-03-24', '2016-03-26'], [39.7908649, -85.9995792, '2016-03-18', '2016-03-20'], [40.499183, -86.91452620000001, '2016-03-11', '2016-03-13']]","[46.02026505138574, 73.50818838623181, 72.108442873968, 4.502477094060965]",196.1393734056465,49.034843351411624
frc2171,2171,RoboDogs,2007,46307,141,16,Indiana,2016,2016in,691.0,69071,"(41.4, -87.3)","[[40.48527, -86.1265951, '2016-04-14', '2016-04-16'], [39.7908649, -85.9995792, '2016-03-18', '2016-03-20'], [40.499183, -86.91452620000001, '2016-03-11', '2016-03-13']]","[88.054683058212, 130.4046732162865, 65.3505123155122]",283.80986859001075,94.60328953000358
