key,number,name,rookie_year,postal_code,points,rank,state,year,district_code,pop_density,income,team_add,event_data,distances,total_distance,average_distance
frc1,1,The Juggernauts,1997,48340,30,333,Michigan,2017,2017fim,3237.0,28929.0,"(42.67, -83.29)","[[42.565648, -83.9274081, '2017-03-30', '2017-04-01'], [42.6564663, -83.3490497, '2017-03-16', '2017-03-18']]","[33.28376752500072, 3.149884687799249]",36.43365221279997,18.216826106399985
frc1023,1023,Bedford Express,2003,48182,234,26,Michigan,2017,2017fim,548.0,64076.0,"(41.79, -83.59)","[[42.26265179999999, -83.75537080000001, '2017-03-09', '2017-03-11'], [42.1223068, -83.2717028, '2017-03-23', '2017-03-25'], [43.51391539999999, -83.9626849, '2017-04-12', '2017-04-15'], [43.51391539999999, -83.9626849, '2017-04-15', '2017-04-15']]","[33.71321347597319, 28.193706477958443, 120.49954366127551, 120.49954366127551]",302.9060072764827,75.72650181912067
frc1025,1025,IMPI Robotics,2003,48220,148,82,Michigan,2017,2017fim,5036.0,44986.0,"(42.46, -83.14)","[[43.51391539999999, -83.9626849, '2017-04-12', '2017-04-15'], [43.51391539999999, -83.9626849, '2017-04-15', '2017-04-15'], [45.0465108, -84.6709656, '2017-03-16', '2017-03-18'], [42.4694756, -83.2633032, '2017-03-02', '2017-03-04']]","[83.8498637322727, 83.8498637322727, 194.30200816142045, 6.3352344860942935]",368.3369701120601,92.08424252801503
frc107,107,Team R.O.B.O.T.I.C.S.,1997,49423,270,12,Michigan,2017,2017fim,580.0,47522.0,"(42.7, -86.1)","[[43.51391539999999, -83.9626849, '2017-04-12', '2017-04-15'], [43.51391539999999, -83.9626849, '2017-04-15', '2017-04-15'], [43.52176539999999, -84.69053989999999, '2017-04-06', '2017-04-08'], [42.4694756, -83.2633032, '2017-03-02', '2017-03-04'], [42.9639355, -85.8889465, '2017-03-23', '2017-03-25']]","[121.8272810031616, 121.8272810031616, 91.09937330002441, 145.55683324899326, 21.140028480341783]",501.4507970356826,100.29015940713653
frc1076,1076,Pi Hi Samurai,2003,48103,52,205,Michigan,2017,2017fim,815.0,75559.0,"(42.3, -83.9)","[[42.26265179999999, -83.75537080000001, '2017-03-09', '2017-03-11'], [42.570886, -84.4353129, '2017-03-23', '2017-03-25']]","[7.848212361053892, 33.146494973822826]",40.994707334876715,20.497353667438357
frc1188,1188,Ravens,2003,48073,102,132,Michigan,2017,2017fim,4446.0,58755.0,"(42.52, -83.16)","[[42.4867326, -83.02047549999999, '2017-03-09', '2017-03-11'], [43.51391539999999, -83.9626849, '2017-04-12', '2017-04-15'], [43.51391539999999, -83.9626849, '2017-04-15', '2017-04-15'], [42.4694756, -83.2633032, '2017-03-02', '2017-03-04']]","[7.486813339327369, 79.75145383529758, 79.75145383529758, 6.325036676153673]",173.3147576860762,43.32868942151905
frc1189,1189,The Gearheads,2003,48236,112,119,Michigan,2017,2017fim,4073.0,91782.0,"(42.42, -82.9)","[[42.4867326, -83.02047549999999, '2017-03-09', '2017-03-11'], [43.51391539999999, -83.9626849, '2017-04-12', '2017-04-15'], [43.51391539999999, -83.9626849, '2017-04-15', '2017-04-15'], [42.565648, -83.9274081, '2017-03-30', '2017-04-01'], [42.9111587, -82.47544959999999, '2017-04-06', '2017-04-08']]","[7.6900552481773365, 92.75755566583302, 92.75755566583302, 53.43582284455415, 40.21325993822799]",286.8542493626255,57.370849872525106
frc123,123,Team - Cosmos,1997,48212,102,133,Michigan,2017,2017fim,7298.0,23694.0,"(42.41, -83.05)","[[42.1223068, -83.2717028, '2017-03-23', '2017-03-25'], [42.4867326, -83.02047549999999, '2017-03-09', '2017-03-11'], [43.51391539999999, -83.9626849, '2017-04-12', '2017-04-15'], [43.51391539999999, -83.9626849, '2017-04-15', '2017-04-15']]","[22.879587844431803, 5.507164633510075, 89.14956544849069, 89.14956544849069]",206.68588337492326,51.671470843730816
frc1243,1243,Dragons,2004,48473,112,118,Michigan,2017,2017fim,382.0,54990.0,"(42.9, -83.8)","[[43.51391539999999, -83.9626849, '2017-04-12', '2017-04-15'], [43.51391539999999, -83.9626849, '2017-04-15', '2017-04-15'], [43.0114011, -83.712981, '2017-03-09', '2017-03-11'], [42.85077099999999, -85.6185354, '2017-03-30', '2017-04-01']]","[43.168859550299885, 43.168859550299885, 8.865801225667143, 92.38680956936172]",187.59032989562863,46.89758247390716
frc1250,1250,Gator-Bots,2004,48124,105,130,Michigan,2017,2017fim,3584.0,58074.0,"(42.3, -83.25)","[[42.1223068, -83.2717028, '2017-03-23', '2017-03-25'], [43.51391539999999, -83.9626849, '2017-04-12', '2017-04-15'], [43.51391539999999, -83.9626849, '2017-04-15', '2017-04-15'], [42.4694756, -83.2633032, '2017-03-02', '2017-03-04']]","[12.314887172492284, 91.26482143005575, 91.26482143005575, 11.717399921036119]",206.5619299536399,51.64048248840997
