key,number,name,rookie_year,postal_code,points,rank,state,year,district_code,pop_density,income,team_add,event_data,distances,total_distance,average_distance
frc1002,1002,CircuitRunners Robotics,2003,30068,243,5,Georgia,2017,2017pch,2204.0,101284,"(33.97, -84.44)","[[33.9425366, -83.3780926, '2017-04-05', '2017-04-08'], [32.502212, -84.94159, '2017-03-16', '2017-03-18'], [34.3323099, -83.8325229, '2017-03-03', '2017-03-05']]","[61.01936761427104, 105.24129386426699, 42.84133464678506]",209.10199612532307,69.70066537510769
frc1261,1261,Robo Lions Team1261,2004,30024,39,50,Georgia,2017,2017pch,1519.0,99931,"(34.07, -84.1)","[[31.5738261, -84.15004619999999, '2017-03-23', '2017-03-25'], [34.3323099, -83.8325229, '2017-03-03', '2017-03-05']]","[172.0382639624148, 23.69676885530752]",195.7350328177223,97.86751640886115
frc1311,1311,Kell Robotics,2004,30144,122,24,Georgia,2017,2017pch,2315.0,59758,"(34.03, -84.6)","[[33.9425366, -83.3780926, '2017-04-05', '2017-04-08'], [34.7592451, -85.00542190000002, '2017-03-09', '2017-03-11'], [34.3323099, -83.8325229, '2017-03-03', '2017-03-05']]","[70.41327293185985, 55.34662416321143, 48.65128711422748]",174.41118420929877,58.13706140309959
frc1414,1414,IHOT,2004,30305,111,28,Georgia,2017,2017pch,3574.0,85993,"(33.84, -84.38)","[[33.9425366, -83.3780926, '2017-04-05', '2017-04-08'], [32.502212, -84.94159, '2017-03-16', '2017-03-18'], [34.7592451, -85.00542190000002, '2017-03-09', '2017-03-11']]","[58.019684522187376, 97.76944374170502, 72.76318845464795]",228.55231671854034,76.18410557284678
frc1648,1648,G3 Robotics,2005,30309,202,9,Georgia,2017,2017pch,6391.0,71854,"(33.8, -84.39)","[[33.9425366, -83.3780926, '2017-04-05', '2017-04-08'], [32.502212, -84.94159, '2017-03-16', '2017-03-18'], [34.3323099, -83.8325229, '2017-03-03', '2017-03-05']]","[58.99964220592703, 94.9800813768067, 48.668593031799276]",202.648316614533,67.549438871511
frc1683,1683,Techno Titans,2005,30097,132,22,Georgia,2017,2017pch,1856.0,97612,"(34.02, -84.14)","[[33.9425366, -83.3780926, '2017-04-05', '2017-04-08'], [32.502212, -84.94159, '2017-03-16', '2017-03-18'], [34.3323099, -83.8325229, '2017-03-03', '2017-03-05']]","[44.071567492792454, 114.4318419634934, 27.814395199367734]",186.3178046556536,62.10593488521786
frc1746,1746,OTTO,2006,30040,303,2,Georgia,2017,2017pch,931.0,81378,"(34.2, -84.2)","[[33.9425366, -83.3780926, '2017-04-05', '2017-04-08'], [32.502212, -84.94159, '2017-03-16', '2017-03-18'], [34.3323099, -83.8325229, '2017-03-03', '2017-03-05']]","[50.37149448231633, 124.61872458447608, 22.921411303593047]",197.91163037038547,65.97054345679516
frc1771,1771,North Gwinnett Robotics,2006,30024,103,30,Georgia,2017,2017pch,1519.0,99931,"(34.07, -84.1)","[[31.5738261, -84.15004619999999, '2017-03-23', '2017-03-25'], [33.9425366, -83.3780926, '2017-04-05', '2017-04-08'], [34.7592451, -85.00542190000002, '2017-03-09', '2017-03-11']]","[172.0382639624148, 42.35916935173093, 70.22931725326403]",284.6267505674097,94.87558352246991
frc1795,1795,Team Clutch,2006,30315,29,57,Georgia,2017,2017pch,2992.0,20951,"(33.7, -84.38)","[[32.502212, -84.94159, '2017-03-16', '2017-03-18'], [34.3323099, -83.8325229, '2017-03-03', '2017-03-05']]","[88.73852898331691, 53.72767963240338]",142.4662086157203,71.23310430786015
frc2415,2415,WiredCats,2008,30327,216,8,Georgia,2017,2017pch,1323.0,139543,"(33.86, -84.42)","[[33.9425366, -83.3780926, '2017-04-05', '2017-04-08'], [32.502212, -84.94159, '2017-03-16', '2017-03-18'], [34.7592451, -85.00542190000002, '2017-03-09', '2017-03-11']]","[60.14939773815134, 98.3320951745157, 70.44830773350385]",228.92980064617092,76.30993354872363
