key,number,name,rookie_year,postal_code,points,rank,state,year,district_code,pop_density,income,team_add,event_data,distances,total_distance,average_distance
frc102,102,The Gearheads,1998,08876,90,47,New Jersey,2018,2018mar,1459.0,89242,"(40.59, -74.66)","[[40.58528099999999, -75.35740299999999, '2018-04-04', '2018-04-07'], [40.59299619999999, -74.63451490000001, '2018-03-16', '2018-03-18'], [40.4174592, -74.7064384, '2018-03-23', '2018-03-25']]","[36.687285255530746, 1.35638029268568, 12.153921196063193]",50.19758674427962,16.73252891475987
frc103,103,Cybersonics,1997,18930,125,31,Pennsylvania,2018,2018mar,122.0,83438,"(40.54, -75.22)","[[40.58528099999999, -75.35740299999999, '2018-04-04', '2018-04-07'], [40.1977406, -75.1635218, '2018-03-29', '2018-03-31'], [40.06155810000001, -75.20953469999999, '2018-03-16', '2018-03-18']]","[7.8767587200019085, 23.802614840626564, 33.01583691086481]",64.69521047149328,21.565070157164428
frc1089,1089,Team Mercury,2003,08520,146,21,New Jersey,2018,2018mar,1581.0,90293,"(40.25, -74.54)","[[40.58528099999999, -75.35740299999999, '2018-04-04', '2018-04-07'], [40.858616, -74.713984, '2018-03-09', '2018-03-11'], [39.8573487, -74.717578, '2018-03-23', '2018-03-25']]","[48.92206596105128, 42.981387409597914, 28.68015192123632]",120.58360529188552,40.19453509729517
frc11,11,MORT,1997,07836,72,62,New Jersey,2018,2018mar,787.0,100529,"(40.85, -74.71)","[[40.58528099999999, -75.35740299999999, '2018-04-04', '2018-04-07'], [40.858616, -74.713984, '2018-03-09', '2018-03-11'], [40.4174592, -74.7064384, '2018-03-23', '2018-03-25']]","[38.586840900991206, 0.6301167432989965, 29.846466794015246]",69.06342443830545,23.021141479435148
frc1143,1143,Cruzin' Comets,2003,18411,82,53,Pennsylvania,2018,2018mar,405.0,70405,"(41.4, -75.7)","[[40.58528099999999, -75.35740299999999, '2018-04-04', '2018-04-07'], [40.858616, -74.713984, '2018-03-09', '2018-03-11'], [40.1977406, -75.1635218, '2018-03-29', '2018-03-31']]","[59.00470438755273, 63.580273743306705, 87.59928357174876]",210.18426170260818,70.06142056753606
frc1168,1168,Malvern Robotics,2003,19355,75,59,Pennsylvania,2018,2018mar,646.0,109706,"(40.04, -75.53)","[[40.58528099999999, -75.35740299999999, '2018-04-04', '2018-04-07'], [40.06155810000001, -75.20953469999999, '2018-03-16', '2018-03-18'], [39.9483, -75.53830599999999, '2018-03-09', '2018-03-11']]","[38.711698526561406, 17.056663861220205, 6.342052726867213]",62.11041511464882,20.70347170488294
frc1218,1218,SCH Robotics,2003,19118,243,5,Pennsylvania,2018,2018mar,3075.0,77271,"(40.07, -75.21)","[[40.58528099999999, -75.35740299999999, '2018-04-04', '2018-04-07'], [40.1977406, -75.1635218, '2018-03-29', '2018-03-31'], [40.06155810000001, -75.20953469999999, '2018-03-16', '2018-03-18']]","[36.395268867860615, 9.15074768218676, 0.582966779134923]",46.1289833291823,15.376327776394099
frc1228,1228,RoboTribe,2003,07065,45,71,New Jersey,2018,2018mar,7017.0,58101,"(40.61, -74.28)","[[40.858616, -74.713984, '2018-03-09', '2018-03-11'], [39.8573487, -74.717578, '2018-03-23', '2018-03-25']]","[28.516420827863634, 56.85200981309681]",85.36843064096044,42.68421532048022
frc1257,1257,Parallel Universe,2004,07076,103,38,New Jersey,2018,2018mar,2609.0,109872,"(40.64, -74.37)","[[40.58528099999999, -75.35740299999999, '2018-04-04', '2018-04-07'], [40.59299619999999, -74.63451490000001, '2018-03-16', '2018-03-18'], [40.1977406, -75.1635218, '2018-03-29', '2018-03-31']]","[52.058467123481, 14.281606052051448, 51.79100441342286]",118.13107758895532,39.37702586298511
frc1279,1279,Cold Fusion,2004,08876,32,89,New Jersey,2018,2018mar,1459.0,89242,"(40.59, -74.66)","[[40.4174592, -74.7064384, '2018-03-23', '2018-03-25'], [39.9483, -75.53830599999999, '2018-03-09', '2018-03-11']]","[12.153921196063193, 64.14892214145895]",76.30284333752215,38.151421668761074
