key,number,name,rookie_year,postal_code,points,rank,state,year,district_code,pop_density,income,team_add,event_data,distances,total_distance,average_distance
frc1225,1225,The Gorillas,2003,28739,41,44,North Carolina,2018,2018nc,295.0,51163,"(35.3, -82.5)","[[35.6162921, -82.5673127, '2018-03-23', '2018-03-25'], [36.1279862, -80.2537906, '2018-03-29', '2018-03-31']]","[22.13342643841993, 138.59339113908104]",160.72681757750098,80.36340878875049
frc1533,1533,Triple Strange,2005,27409,356,1,North Carolina,2018,2018nc,803.0,42831,"(36.11, -79.94)","[[35.6162921, -82.5673127, '2018-03-23', '2018-03-25'], [35.4078504, -78.7367719, '2018-04-06', '2018-04-08'], [36.1279862, -80.2537906, '2018-03-29', '2018-03-31']]","[151.32187691733782, 83.15701701751588, 17.597450057614427]",252.07634399246814,84.02544799748938
frc2059,2059,The Hitchhikers,2007,27502,256,6,North Carolina,2018,2018nc,1088.0,95816,"(35.7, -78.9)","[[35.6162921, -82.5673127, '2018-03-23', '2018-03-25'], [35.4078504, -78.7367719, '2018-04-06', '2018-04-08'], [35.59754689999999, -77.36743899999999, '2018-03-09', '2018-03-11'], [34.68988379999999, -79.2005721, '2018-03-16', '2018-03-18']]","[206.41337179913887, 22.14132136412411, 86.5288927726309, 71.68198773167143]",386.7655736675653,96.69139341689133
frc2640,2640,HOTBOTZ,2008,27375,41,43,North Carolina,2018,2018nc,157.0,40542,"(36.3, -79.7)","[[35.59754689999999, -77.36743899999999, '2018-03-09', '2018-03-11'], [36.1279862, -80.2537906, '2018-03-29', '2018-03-31']]","[139.44212463159, 33.137238104000744]",172.57936273559073,86.28968136779537
frc2642,2642,Pitt Pirates,2008,27834,286,4,North Carolina,2018,2018nc,299.0,31265,"(35.7, -77.4)","[[35.4078504, -78.7367719, '2018-04-06', '2018-04-08'], [35.59754689999999, -77.36743899999999, '2018-03-09', '2018-03-11'], [34.68988379999999, -79.2005721, '2018-03-16', '2018-03-18']]","[77.95828223944332, 7.2971767561478735, 123.41050631243728]",208.6659653080285,69.55532176934283
frc2655,2655,The Flying Platypi,2008,27410,212,9,North Carolina,2018,2018nc,1603.0,60097,"(36.12, -79.89)","[[35.4078504, -78.7367719, '2018-04-06', '2018-04-08'], [35.59754689999999, -77.36743899999999, '2018-03-09', '2018-03-11'], [34.68988379999999, -79.2005721, '2018-03-16', '2018-03-18'], [36.1279862, -80.2537906, '2018-03-29', '2018-03-31']]","[81.30029857795606, 146.08366575733618, 105.99265879824733, 20.356895033186337]",353.7335181667259,88.43337954168148
frc2682,2682,Boneyard Robotics 2682,2008,27828,200,10,North Carolina,2018,2018nc,118.0,36736,"(35.6, -77.6)","[[35.4078504, -78.7367719, '2018-04-06', '2018-04-08'], [35.59754689999999, -77.36743899999999, '2018-03-09', '2018-03-11'], [34.68988379999999, -79.2005721, '2018-03-16', '2018-03-18']]","[65.43866464486531, 13.096024567331183, 110.22528249413462]",188.7599717063311,62.91999056877703
frc3196,3196,Team SPORK,2010,28115,162,17,North Carolina,2018,2018nc,466.0,53157,"(35.6, -80.8)","[[35.6162921, -82.5673127, '2018-03-23', '2018-03-25'], [35.4078504, -78.7367719, '2018-04-06', '2018-04-08'], [34.68988379999999, -79.2005721, '2018-03-16', '2018-03-18']]","[99.50641132153989, 117.06187586780334, 110.17202267744116]",326.7403098667844,108.91343662226147
frc3215,3215,Apollo,2010,27408,14,64,North Carolina,2018,2018nc,2268.0,60938,"(36.1, -79.82)","[[35.59754689999999, -77.36743899999999, '2018-03-09', '2018-03-11'], [36.1279862, -80.2537906, '2018-03-29', '2018-03-31']]","[141.95388707842568, 24.344716341677895]",166.29860342010357,83.14930171005179
frc3229,3229,Hawktimus Prime,2010,27540,216,7,North Carolina,2018,2018nc,633.0,86066,"(35.61, -78.87)","[[35.6162921, -82.5673127, '2018-03-23', '2018-03-25'], [35.4078504, -78.7367719, '2018-04-06', '2018-04-08'], [34.68988379999999, -79.2005721, '2018-03-16', '2018-03-18']]","[208.13752199839521, 15.831151605629758, 66.1337958836972]",290.1024694877222,96.70082316257407
frc3336,3336,Zimanators,2010,28584,20,58,North Carolina,2018,2018nc,198.0,55581,"(34.74, -77.1)","[[35.59754689999999, -77.36743899999999, '2018-03-09', '2018-03-11'], [34.68988379999999, -79.2005721, '2018-03-16', '2018-03-18']]","[61.024447766316136, 119.61197063037991]",180.63641839669606,90.31820919834803
