key,number,name,rookie_year,postal_code,points,rank,state,year,district_code,pop_density,income,team_add,event_data,distances,total_distance,average_distance
frc1225,1225,The Gorillas,2003,28739,20,65,North Carolina,2019,2019fnc,295.0,51163,"(35.3, -82.5)","[[35.61815219999999, -82.5687937, '2019-03-22', '2019-03-24'], [36.0922556, -79.61636759999999, '2019-03-15', '2019-03-17']]","[22.274169044404964, 171.11590533364298]",193.39007437804796,96.69503718902398
frc1533,1533,Triple Strange,2005,27409,326,2,North Carolina,2019,2019fnc,803.0,42831,"(36.11, -79.94)","[[35.61815219999999, -82.5687937, '2019-03-22', '2019-03-24'], [35.4078504, -78.7367719, '2019-04-05', '2019-04-07'], [36.0922556, -79.61636759999999, '2019-03-15', '2019-03-17']]","[151.37240538123905, 83.15701701751588, 18.149639621835245]",252.67906202059018,84.22635400686339
frc2059,2059,The Hitchhikers,2007,27502,212,8,North Carolina,2019,2019fnc,1088.0,95816,"(35.7, -78.9)","[[35.4078504, -78.7367719, '2019-04-05', '2019-04-07'], [36.0922556, -79.61636759999999, '2019-03-15', '2019-03-17'], [35.6278921, -78.8491284, '2019-03-08', '2019-03-10']]","[22.14132136412411, 48.43940254897006, 5.736362855806489]",76.31708676890067,25.439028922966887
frc2640,2640,HOTBOTZ,2008,27375,156,18,North Carolina,2019,2019fnc,157.0,40542,"(36.3, -79.7)","[[35.61815219999999, -82.5687937, '2019-03-22', '2019-03-24'], [35.4078504, -78.7367719, '2019-04-05', '2019-04-07'], [36.0922556, -79.61636759999999, '2019-03-15', '2019-03-17']]","[167.53036484755043, 81.8911987251756, 15.067031043450083]",264.4885946161761,88.1628648720587
frc2642,2642,Pitt Pirates,2008,27834,194,12,North Carolina,2019,2019fnc,299.0,31265,"(35.7, -77.4)","[[35.4078504, -78.7367719, '2019-04-05', '2019-04-07'], [34.68988379999999, -79.2005721, '2019-03-29', '2019-03-31'], [35.6278921, -78.8491284, '2019-03-08', '2019-03-10']]","[77.95828223944332, 123.41050631243728, 81.68130895749925]",283.05009750937984,94.35003250312661
frc2655,2655,The Flying Platypi,2008,27410,220,7,North Carolina,2019,2019fnc,1603.0,60097,"(36.12, -79.89)","[[35.61815219999999, -82.5687937, '2019-03-22', '2019-03-24'], [35.4078504, -78.7367719, '2019-04-05', '2019-04-07'], [36.0922556, -79.61636759999999, '2019-03-15', '2019-03-17']]","[154.2520824498738, 81.30029857795606, 15.42876044860493]",250.98114147643477,83.66038049214492
frc2682,2682,Boneyard Robotics 2682,2008,27828,163,15,North Carolina,2019,2019fnc,118.0,36736,"(35.6, -77.6)","[[35.4078504, -78.7367719, '2019-04-05', '2019-04-07'], [34.68988379999999, -79.2005721, '2019-03-29', '2019-03-31'], [35.6278921, -78.8491284, '2019-03-08', '2019-03-10']]","[65.43866464486531, 110.22528249413462, 70.34787040338956]",246.0118175423895,82.00393918079651
frc3196,3196,Team SPORK,2010,28115,240,5,North Carolina,2019,2019fnc,466.0,53157,"(35.6, -80.8)","[[35.61815219999999, -82.5687937, '2019-03-22', '2019-03-24'], [35.4078504, -78.7367719, '2019-04-05', '2019-04-07'], [36.0922556, -79.61636759999999, '2019-03-15', '2019-03-17']]","[99.59016057946693, 117.06187586780334, 74.60699689272762]",291.25903333999787,97.08634444666596
frc3215,3215,Apollo,2010,27408,10,70,North Carolina,2019,2019fnc,2268.0,60938,"(36.1, -79.82)","[[36.0922556, -79.61636759999999, '2019-03-15', '2019-03-17'], [34.68988379999999, -79.2005721, '2019-03-29', '2019-03-31']]","[11.407169625114284, 103.30972534443828]",114.71689496955256,57.35844748477628
frc3229,3229,Hawktimus Prime,2010,27540,144,21,North Carolina,2019,2019fnc,633.0,86066,"(35.61, -78.87)","[[35.61815219999999, -82.5687937, '2019-03-22', '2019-03-24'], [35.4078504, -78.7367719, '2019-04-05', '2019-04-07'], [35.6278921, -78.8491284, '2019-03-08', '2019-03-10']]","[208.21877930370025, 15.831151605629758, 1.7035398619463733]",225.7534707712764,75.2511569237588
frc3336,3336,Zimanators,2010,28584,49,40,North Carolina,2019,2019fnc,198.0,55581,"(34.74, -77.1)","[[34.68988379999999, -79.2005721, '2019-03-29', '2019-03-31'], [35.6278921, -78.8491284, '2019-03-08', '2019-03-10']]","[119.61197063037991, 116.38621375673716]",235.99818438711708,117.99909219355854
frc3459,3459,Team PyroTech,2011,27518,140,22,North Carolina,2019,2019fnc,2040.0,102038,"(35.73, -78.77)","[[35.61815219999999, -82.5687937, '2019-03-22', '2019-03-24'], [35.4078504, -78.7367719, '2019-04-05', '2019-04-07'], [35.6278921, -78.8491284, '2019-03-08', '2019-03-10']]","[213.82582718418752, 22.28829213152859, 8.32877193083334]",244.44289124654944,81.48096374884982
frc3506,3506,YETI Robotics,2011,28208,150,20,North Carolina,2019,2019fnc,1553.0,28435,"(35.24, -80.91)","[[35.61815219999999, -82.5687937, '2019-03-22', '2019-03-24'], [35.4078504, -78.7367719, '2019-04-05', '2019-04-07'], [36.0922556, -79.61636759999999, '2019-03-15', '2019-03-17']]","[97.16062752904278, 123.32755016579243, 93.53613347373319]",314.0243111685684,104.67477038952279
frc3661,3661,RoboWolves,2011,28170,49,39,North Carolina,2019,2019fnc,66.0,32730,"(35.0, -80.1)","[[35.61815219999999, -82.5687937, '2019-03-22', '2019-03-24'], [34.68988379999999, -79.2005721, '2019-03-29', '2019-03-31']]","[145.8691391152072, 55.404957605369106]",201.2740967205763,100.63704836028815
frc3680,3680,Elemental Dragons,2011,28677,45,43,North Carolina,2019,2019fnc,400.0,34793,"(35.7, -80.9)","[[35.61815219999999, -82.5687937, '2019-03-22', '2019-03-24'], [36.0922556, -79.61636759999999, '2019-03-15', '2019-03-17']]","[94.06337288670119, 76.91998380778327]",170.98335669448446,85.49167834724223
frc3737,3737,Roto Raptors,2011,27533,208,9,North Carolina,2019,2019fnc,434.0,45745,"(35.4, -77.9)","[[35.4078504, -78.7367719, '2019-04-05', '2019-04-07'], [34.68988379999999, -79.2005721, '2019-03-29', '2019-03-31'], [35.6278921, -78.8491284, '2019-03-08', '2019-03-10']]","[47.23344584077823, 88.50230387851182, 55.758364941687645]",191.4941146609777,63.83137155365923
frc3796,3796,Technical Assassins,2011,27983,22,62,North Carolina,2019,2019fnc,31.0,30029,"(36.0, -76.9)","[[34.68988379999999, -79.2005721, '2019-03-29', '2019-03-31'], [35.6278921, -78.8491284, '2019-03-08', '2019-03-10']]","[158.24379827320396, 112.42018590824003]",270.663984181444,135.331992090722
frc3822,3822,Neon Kracken,2011,27344,34,52,North Carolina,2019,2019fnc,109.0,37797,"(35.7, -79.4)","[[36.0922556, -79.61636759999999, '2019-03-15', '2019-03-17'], [34.68988379999999, -79.2005721, '2019-03-29', '2019-03-31']]","[29.643204735313294, 70.54339319430777]",100.18659792962106,50.09329896481053
frc3845,3845,Yellow Jackets,2011,27105,0,71,North Carolina,2019,2019fnc,1173.0,30308,"(36.16, -80.24)",[],[],0.0,0.0
frc4290,4290,Bots on Wheels,2012,28217,198,11,North Carolina,2019,2019fnc,1634.0,38832,"(35.17, -80.92)","[[35.61815219999999, -82.5687937, '2019-03-22', '2019-03-24'], [35.4078504, -78.7367719, '2019-04-05', '2019-04-07'], [36.0922556, -79.61636759999999, '2019-03-15', '2019-03-17']]","[98.0674925890295, 124.48610274812631, 97.08876730494744]",319.64236264210325,106.54745421403442
frc4291,4291,AstroBots,2012,27537,138,24,North Carolina,2019,2019fnc,127.0,39033,"(36.4, -78.4)","[[35.4078504, -78.7367719, '2019-04-05', '2019-04-07'], [34.68988379999999, -79.2005721, '2019-03-29', '2019-03-31'], [35.6278921, -78.8491284, '2019-03-08', '2019-03-10']]","[70.9646947659008, 126.23118996736704, 58.879593943115616]",256.07547867638345,85.35849289212781
frc435,435,Robodogs,2000,27603,30,55,North Carolina,2019,2019fnc,911.0,54904,"(35.7, -78.7)","[[34.68988379999999, -79.2005721, '2019-03-29', '2019-03-31'], [35.6278921, -78.8491284, '2019-03-08', '2019-03-10']]","[75.17563171023355, 9.752443045161293]",84.92807475539485,42.46403737769742
frc4534,4534,Wired Wizards,2013,28405,242,4,North Carolina,2019,2019fnc,1211.0,51580,"(34.27, -77.86)","[[35.4078504, -78.7367719, '2019-04-05', '2019-04-07'], [36.0922556, -79.61636759999999, '2019-03-15', '2019-03-17'], [34.68988379999999, -79.2005721, '2019-03-29', '2019-03-31']]","[92.9253730797514, 160.1884863717391, 81.81000203695717]",334.92386148844764,111.64128716281589
frc4561,4561,TerrorBytes,2013,27709,207,10,North Carolina,2019,2019fnc,2680.0,71250,"(35.9, -78.86)","[[35.61815219999999, -82.5687937, '2019-03-22', '2019-03-24'], [35.4078504, -78.7367719, '2019-04-05', '2019-04-07'], [35.6278921, -78.8491284, '2019-03-08', '2019-03-10']]","[209.30675878737304, 34.63138972737949, 18.770153865113162]",262.7083023798657,87.5694341266219
frc4795,4795,EastBots,2013,27514,166,14,North Carolina,2019,2019fnc,1653.0,56333,"(35.97, -79.04)","[[35.4078504, -78.7367719, '2019-04-05', '2019-04-07'], [36.0922556, -79.61636759999999, '2019-03-15', '2019-03-17'], [34.68988379999999, -79.2005721, '2019-03-29', '2019-03-31']]","[42.34286014084288, 33.36075320241397, 88.71496933910515]",164.418582682362,54.806194227454
frc4816,4816,holographic,2013,27613,13,69,North Carolina,2019,2019fnc,1735.0,81187,"(35.93, -78.72)","[[34.68988379999999, -79.2005721, '2019-03-29', '2019-03-31'], [35.6278921, -78.8491284, '2019-03-08', '2019-03-10']]","[89.70128348028877, 22.055800044328702]",111.75708352461747,55.878541762308735
frc4828,4828,RoboEagles,2013,27606,160,16,North Carolina,2019,2019fnc,1743.0,44123,"(35.74, -78.72)","[[35.61815219999999, -82.5687937, '2019-03-22', '2019-03-24'], [35.4078504, -78.7367719, '2019-04-05', '2019-04-07'], [35.6278921, -78.8491284, '2019-03-08', '2019-03-10']]","[216.6483470076778, 22.91847923754093, 10.606239990220745]",250.1730662354395,83.39102207847984
frc4829,4829,Titanium Tigers,2013,27516,43,44,North Carolina,2019,2019fnc,389.0,69349,"(35.9, -79.2)","[[36.0922556, -79.61636759999999, '2019-03-15', '2019-03-17'], [34.68988379999999, -79.2005721, '2019-03-29', '2019-03-31']]","[26.831088073203844, 83.42378102759223]",110.25486910079607,55.127434550398036
frc4935,4935,T-Rex,2014,28273,86,31,North Carolina,2019,2019fnc,1438.0,56048,"(35.12, -80.93)","[[35.61815219999999, -82.5687937, '2019-03-22', '2019-03-24'], [35.4078504, -78.7367719, '2019-04-05', '2019-04-07'], [36.0922556, -79.61636759999999, '2019-03-15', '2019-03-17']]","[98.70458988858806, 125.5824136448525, 99.81335805579775]",324.10036158923833,108.03345386307944
frc5160,5160,Chargers,2014,27513,50,37,North Carolina,2019,2019fnc,2578.0,85546,"(35.8, -78.8)","[[34.68988379999999, -79.2005721, '2019-03-29', '2019-03-31'], [35.6278921, -78.8491284, '2019-03-08', '2019-03-10']]","[79.81162764654692, 12.18300173722459]",91.99462938377151,45.997314691885755
frc5190,5190,Green Hope Falcons,2014,27519,358,1,North Carolina,2019,2019fnc,1799.0,120679,"(35.81, -78.89)","[[35.61815219999999, -82.5687937, '2019-03-22', '2019-03-24'], [35.4078504, -78.7367719, '2019-04-05', '2019-04-07'], [35.6278921, -78.8491284, '2019-03-08', '2019-03-10']]","[207.25638488832533, 29.036213460461898, 12.763714389899437]",249.05631273868667,83.01877091289556
frc5511,5511,Cortechs Robotics,2015,27519,293,3,North Carolina,2019,2019fnc,1799.0,120679,"(35.81, -78.89)","[[35.4078504, -78.7367719, '2019-04-05', '2019-04-07'], [34.68988379999999, -79.2005721, '2019-03-29', '2019-03-31'], [35.6278921, -78.8491284, '2019-03-08', '2019-03-10']]","[29.036213460461898, 79.1907096509496, 12.763714389899437]",120.99063750131093,40.33021250043698
frc5518,5518,Techno Wolves,2015,27539,28,57,North Carolina,2019,2019fnc,593.0,82524,"(35.7, -78.8)","[[35.61815219999999, -82.5687937, '2019-03-22', '2019-03-24'], [35.6278921, -78.8491284, '2019-03-08', '2019-03-10']]","[212.11419172994667, 5.688063583517755]",217.80225531346443,108.90112765673221
frc5544,5544,SWIFT Robotics,2015,28394,79,33,North Carolina,2019,2019fnc,118.0,34614,"(35.2, -79.2)","[[36.0922556, -79.61636759999999, '2019-03-15', '2019-03-17'], [34.68988379999999, -79.2005721, '2019-03-29', '2019-03-31']]","[65.82556408248578, 35.16469794155065]",100.99026202403644,50.49513101201822
frc5607,5607,Team Firewall,2015,27614,81,32,North Carolina,2019,2019fnc,1164.0,91365,"(35.95, -78.61)","[[35.4078504, -78.7367719, '2019-04-05', '2019-04-07'], [34.68988379999999, -79.2005721, '2019-03-29', '2019-03-31'], [35.6278921, -78.8491284, '2019-03-08', '2019-03-10']]","[38.05160258078025, 93.05874535601302, 25.954038090884282]",157.06438602767753,52.35479534255918
frc5679,5679,Girls on Fire,2015,27101,33,53,North Carolina,2019,2019fnc,1481.0,24350,"(36.12, -80.2)","[[35.61815219999999, -82.5687937, '2019-03-22', '2019-03-24'], [36.0922556, -79.61636759999999, '2019-03-15', '2019-03-17']]","[137.35590867397994, 32.71014018984085]",170.06604886382078,85.03302443191039
frc5727,5727,Omegabytes,2015,28160,34,51,North Carolina,2019,2019fnc,701.0,25313,"(35.36, -81.93)","[[35.61815219999999, -82.5687937, '2019-03-22', '2019-03-24'], [36.0922556, -79.61636759999999, '2019-03-15', '2019-03-17']]","[40.17488539525715, 139.51715707118402]",179.69204246644117,89.84602123322058
frc5762,5762,FranklinBots - TEAM HYDRA,2015,27549,102,29,North Carolina,2019,2019fnc,100.0,36969,"(36.1, -78.2)","[[35.4078504, -78.7367719, '2019-04-05', '2019-04-07'], [36.0922556, -79.61636759999999, '2019-03-15', '2019-03-17'], [35.6278921, -78.8491284, '2019-03-08', '2019-03-10']]","[56.45439086075021, 79.25684648761533, 48.85267717897504]",184.56391452734061,61.521304842446874
frc5854,5854,GLITCH,2016,28804,50,38,North Carolina,2019,2019fnc,772.0,50058,"(35.65, -82.55)","[[35.61815219999999, -82.5687937, '2019-03-22', '2019-03-24'], [36.0922556, -79.61636759999999, '2019-03-15', '2019-03-17']]","[2.4371738653161117, 167.41696327476544]",169.85413714008155,84.92706857004077
frc587,587,The Hedgehogs,2001,27278,224,6,North Carolina,2019,2019fnc,240.0,57627,"(36.1, -79.1)","[[35.61815219999999, -82.5687937, '2019-03-22', '2019-03-24'], [35.4078504, -78.7367719, '2019-04-05', '2019-04-07'], [36.0922556, -79.61636759999999, '2019-03-15', '2019-03-17']]","[197.48731791530514, 51.902063163074786, 28.89930537331325]",278.2886864516932,92.76289548389774
frc5919,5919,JoCo RoBos,2016,27577,35,49,North Carolina,2019,2019fnc,220.0,41386,"(35.5, -78.4)","[[36.0922556, -79.61636759999999, '2019-03-15', '2019-03-17'], [35.6278921, -78.8491284, '2019-03-08', '2019-03-10']]","[79.59304582118476, 26.79258783539191]",106.38563365657667,53.192816828288336
frc6004,6004,f(x) Robotics,2016,27577,31,54,North Carolina,2019,2019fnc,220.0,41386,"(35.5, -78.4)","[[36.0922556, -79.61636759999999, '2019-03-15', '2019-03-17'], [34.68988379999999, -79.2005721, '2019-03-29', '2019-03-31']]","[79.59304582118476, 71.9456105085537]",151.53865632973844,75.76932816486922
frc6214,6214,PHEnix,2016,28425,36,48,North Carolina,2019,2019fnc,73.0,40180,"(34.6, -77.9)","[[36.0922556, -79.61636759999999, '2019-03-15', '2019-03-17'], [34.68988379999999, -79.2005721, '2019-03-29', '2019-03-31']]","[141.35221725719143, 74.34877141915521]",215.70098867634664,107.85049433817332
frc6215,6215,Armored Eagles,2016,27539,24,60,North Carolina,2019,2019fnc,593.0,82524,"(35.7, -78.8)","[[34.68988379999999, -79.2005721, '2019-03-29', '2019-03-31'], [35.6278921, -78.8491284, '2019-03-08', '2019-03-10']]","[73.23128216714134, 5.688063583517755]",78.9193457506591,39.45967287532955
frc6240,6240,Eagles of the Knight,2016,27589,17,68,North Carolina,2019,2019fnc,48.0,32521,"(36.4, -78.1)","[[36.0922556, -79.61636759999999, '2019-03-15', '2019-03-17'], [35.6278921, -78.8491284, '2019-03-08', '2019-03-10']]","[87.30651825658559, 67.78413547938774]",155.09065373597332,77.54532686798666
frc6332,6332,Bull City Botics,2017,27705,37,46,North Carolina,2019,2019fnc,1055.0,46597,"(36.03, -78.98)","[[35.61815219999999, -82.5687937, '2019-03-22', '2019-03-24'], [35.6278921, -78.8491284, '2019-03-08', '2019-03-10']]","[203.48665573001526, 28.680457409300356]",232.1671131393156,116.0835565696578
frc6426,6426,Robo Gladiators,2017,27707,27,58,North Carolina,2019,2019fnc,2116.0,45831,"(35.95, -78.95)","[[34.68988379999999, -79.2005721, '2019-03-29', '2019-03-31'], [35.6278921, -78.8491284, '2019-03-08', '2019-03-10']]","[88.01708484022306, 22.91900209372304]",110.9360869339461,55.46804346697305
frc6500,6500,GearCats 6500,2017,27615,131,25,North Carolina,2019,2019fnc,2181.0,78335,"(35.9, -78.63)","[[35.4078504, -78.7367719, '2019-04-05', '2019-04-07'], [34.68988379999999, -79.2005721, '2019-03-29', '2019-03-31'], [35.6278921, -78.8491284, '2019-03-08', '2019-03-10']]","[34.45793906023569, 89.43931318393827, 22.440120492305585]",146.33737273647955,48.779124245493186
frc6502,6502,DARC SIDE,2017,27705,139,23,North Carolina,2019,2019fnc,1055.0,46597,"(36.03, -78.98)","[[35.61815219999999, -82.5687937, '2019-03-22', '2019-03-24'], [35.4078504, -78.7367719, '2019-04-05', '2019-04-07'], [35.6278921, -78.8491284, '2019-03-08', '2019-03-10']]","[203.48665573001526, 45.020293031444936, 28.680457409300356]",277.18740617076054,92.39580205692018
frc6512,6512,Coastal CATastrophe,2017,28422,21,63,North Carolina,2019,2019fnc,73.0,47484,"(34.0, -78.2)","[[36.0922556, -79.61636759999999, '2019-03-15', '2019-03-17'], [34.68988379999999, -79.2005721, '2019-03-29', '2019-03-31']]","[165.0707865558373, 74.38742780726383]",239.45821436310112,119.72910718155056
frc6565,6565,Team Bobcat,2017,28510,56,34,North Carolina,2019,2019fnc,72.0,48500,"(35.0, -76.8)","[[36.0922556, -79.61636759999999, '2019-03-15', '2019-03-17'], [35.6278921, -78.8491284, '2019-03-08', '2019-03-10']]","[175.63630219996318, 123.61192727569704]",299.2482294756602,149.6241147378301
