key,number,name,rookie_year,postal_code,points,rank,state,year,district_code,pop_density,income,team_add,event_data,distances,total_distance,average_distance
frc1258,1258,SeaBot,2004,98116,51,76,Washington,2019,2019pnw,7523.0,74274,"(47.58, -122.4)","[[47.3419907, -122.1719807, '2019-03-08', '2019-03-10'], [47.8687686, -122.1340012, '2019-03-22', '2019-03-24']]","[19.60826147677953, 23.489717885049018]",43.09797936182855,21.548989680914275
frc1294,1294,Top Gun,2004,98074,55,70,Washington,2019,2019pnw,2411.0,143686,"(47.61, -122.04)","[[47.3419907, -122.1719807, '2019-03-08', '2019-03-10'], [47.8687686, -122.1340012, '2019-03-22', '2019-03-24']]","[19.51985799190037, 18.406529897872346]",37.92638788977271,18.963193944886356
frc1318,1318,Issaquah Robotics Society ,2004,98027,161,24,Washington,2019,2019pnw,469.0,100644,"(47.5, -122.0)","[[47.248525, -122.4389871, '2019-04-03', '2019-04-06'], [47.3086637, -122.2199762, '2019-03-29', '2019-03-31'], [48.4237437, -122.3274673, '2019-03-01', '2019-03-03'], [46.5890932, -120.4864208, '2019-03-14', '2019-03-16']]","[26.948021593180055, 16.76790291969948, 65.60539733340781, 95.22035832526319]",204.54168017155052,51.13542004288763
frc1359,1359,Scalawags,2004,97355,43,90,Oregon,2019,2019pnw,137.0,46641,"(44.5, -122.8)","[[45.356123, -122.5972761, '2019-03-14', '2019-03-16'], [45.30742360000001, -122.747698, '2019-03-07', '2019-03-09']]","[59.94855065335848, 55.81399961171713]",115.76255026507562,57.88127513253781
frc1425,1425,Error Code Xero,2004,97070,154,25,Oregon,2019,2019pnw,1098.0,58662,"(45.31, -122.78)","[[45.356123, -122.5972761, '2019-03-14', '2019-03-16'], [45.30742360000001, -122.747698, '2019-03-07', '2019-03-09'], [47.248525, -122.4389871, '2019-04-03', '2019-04-06']]","[9.452981576351727, 1.5840789095311492, 134.8850839348661]",145.92214442074896,48.64071480691632
frc1432,1432,Metal Beavers,2004,97206,43,91,Oregon,2019,2019pnw,7291.0,50694,"(45.48, -122.6)","[[45.42752039999999, -122.7024808, '2019-03-28', '2019-03-30'], [45.356123, -122.5972761, '2019-03-14', '2019-03-16']]","[6.160033615167978, 8.555867471551005]",14.715901086718983,7.357950543359491
frc1510,1510,Wildcats,2005,97229,29,118,Oregon,2019,2019pnw,2831.0,100063,"(45.55, -122.81)","[[45.42752039999999, -122.7024808, '2019-03-28', '2019-03-30'], [45.356123, -122.5972761, '2019-03-14', '2019-03-16']]","[9.940930503485955, 16.916646977925392]",26.857577481411347,13.428788740705674
frc1540,1540,Flaming Chickens,2005,97225,175,16,Oregon,2019,2019pnw,3663.0,71746,"(45.5, -122.78)","[[45.356123, -122.5972761, '2019-03-14', '2019-03-16'], [45.30742360000001, -122.747698, '2019-03-07', '2019-03-09'], [47.248525, -122.4389871, '2019-04-03', '2019-04-06']]","[13.329421703832471, 13.391648643462334, 121.86701493527629]",148.5880852825711,49.52936176085703
frc1571,1571,CALibrate Robotics,2005,97030,20,133,Oregon,2019,2019pnw,4862.0,43071,"(45.51, -122.43)","[[45.42752039999999, -122.7024808, '2019-03-28', '2019-03-30'], [45.356123, -122.5972761, '2019-03-14', '2019-03-16']]","[14.413617455795777, 13.381995097599875]",27.79561255339565,13.897806276697825
frc1595,1595,The Dragons,2005,99208,55,72,Washington,2019,2019pnw,1001.0,53820,"(47.8, -117.5)","[[47.68340310000001, -117.292742, '2019-03-21', '2019-03-23'], [46.5890932, -120.4864208, '2019-03-14', '2019-03-16']]","[12.5767322706329, 163.6039150932115]",176.1806473638444,88.0903236819222
