key,number,name,rookie_year,postal_code,points,rank,state,year,district_code,pop_density,income,team_add,event_data,distances,total_distance,average_distance
frc1164,1164,Project NEO,2003,88005,48,99,New Mexico,2019,2019tx,552.0,42744.0,"(32.3, -106.8)","[[29.3838421, -100.9194181, '2019-03-22', '2019-03-24'], [31.775609, -106.5047356, '2019-03-01', '2019-03-03']]","[403.0628638658603, 40.072517267716805]",443.13538113357714,221.56769056678857
frc118,118,Robonauts,1997,77573,287,4,Texas,2019,2019tx,2373.0,92559.0,"(29.5, -95.09)","[[30.2606131, -97.7529368, '2019-04-03', '2019-04-06'], [31.775609, -106.5047356, '2019-03-01', '2019-03-03'], [29.6616955, -95.11488779999999, '2019-03-28', '2019-03-30']]","[168.2055540085911, 697.4000516719913, 11.237303084804696]",876.842908765387,292.28096958846237
frc1255,1255,Blarglefish,2004,77520,103,49,Texas,2019,2019tx,1524.0,43409.0,"(29.75, -95.0)","[[30.2606131, -97.7529368, '2019-04-03', '2019-04-06'], [29.795572, -95.12155399999999, '2019-03-14', '2019-03-16'], [29.6616955, -95.11488779999999, '2019-03-28', '2019-03-30']]","[168.74130212838, 7.950071790329849, 9.204128201646878]",185.89550212035672,61.96516737345224
frc1296,1296,Full Metal Jackets,2004,75087,128,34,Texas,2019,2019tx,1075.0,86094.0,"(32.94, -96.44)","[[30.2606131, -97.7529368, '2019-04-03', '2019-04-06'], [35.208347, -101.830241, '2019-03-07', '2019-03-09'], [32.8761115, -96.75174109999999, '2019-03-29', '2019-03-31']]","[200.17529847735105, 346.36879468254614, 18.648440224007924]",565.1925333839051,188.3975111279684
frc1477,1477,Texas Torque,2004,77384,203,14,Texas,2019,2019tx,678.0,80032.0,"(30.23, -95.5)","[[30.2606131, -97.7529368, '2019-04-03', '2019-04-06'], [29.795572, -95.12155399999999, '2019-03-14', '2019-03-16'], [29.3838421, -100.9194181, '2019-03-22', '2019-03-24']]","[134.75296706184702, 37.55119901489726, 330.6824959112981]",502.98666198804233,167.66222066268077
frc148,148,Robowranglers,1992,75402,350,1,Texas,2019,2019tx,176.0,57594.0,"(33.1, -96.1)","[[30.2606131, -97.7529368, '2019-04-03', '2019-04-06'], [35.208347, -101.830241, '2019-03-07', '2019-03-09'], [32.8761115, -96.75174109999999, '2019-03-29', '2019-03-31']]","[218.51986928040427, 358.9907823056889, 40.87477021247447]",618.3854217985677,206.12847393285588
frc1745,1745,The P-51 Mustangs,2006,75080,50,89,Texas,2019,2019tx,3850.0,60440.0,"(32.97, -96.74)","[[33.1046477, -96.1198234, '2019-03-21', '2019-03-23'], [33.028446, -96.752504, '2019-03-14', '2019-03-16']]","[37.17455037437869, 4.092605973119675]",41.267156347498364,20.633578173749182
frc1817,1817,Llano Estacado RoboRaiders,2006,79409,279,7,Texas,2019,2019tx,6162.0,,"(33.7, -101.9)","[[30.2606131, -97.7529368, '2019-04-03', '2019-04-06'], [35.208347, -101.830241, '2019-03-07', '2019-03-09'], [29.3838421, -100.9194181, '2019-03-22', '2019-03-24']]","[339.7487033306757, 104.04526520566127, 302.94157429414054]",746.7355428304775,248.91184761015916
frc2158,2158,ausTIN CANs,2007,78759,105,46,Texas,2019,2019tx,2794.0,66828.0,"(30.4, -97.75)","[[30.2606131, -97.7529368, '2019-04-03', '2019-04-06'], [30.375657, -97.7527899, '2019-03-01', '2019-03-03'], [33.1046477, -96.1198234, '2019-03-21', '2019-03-23']]","[9.603128682671406, 1.6851144311988193, 209.60094845773992]",220.88919157161016,73.62973052387005
frc231,231,High Voltage,1998,77502,171,23,Texas,2019,2019tx,6767.0,43014.0,"(29.68, -95.2)","[[30.2606131, -97.7529368, '2019-04-03', '2019-04-06'], [29.795572, -95.12155399999999, '2019-03-14', '2019-03-16'], [29.6616955, -95.11488779999999, '2019-03-28', '2019-03-30']]","[158.2366063315347, 9.252162281791747, 5.272509458257633]",172.7612780715841,57.58709269052803
